Zini;logAge;logTe;logg
0.0152;8;3.4013;4.704
0.0152;8;3.4048;4.708
0.0152;8;3.4126;4.715
0.0152;8;3.4135;4.716
0.0152;8;3.4232;4.724
0.0152;8;3.431;4.731
0.0152;8;3.4434;4.741
0.0152;8;3.4447;4.742
0.0152;8;3.4543;4.75
0.0152;8;3.4712;4.761
0.0152;8;3.4788;4.766
0.0152;8;3.4867;4.77
0.0152;8;3.4967;4.771
0.0152;8;3.4984;4.771
0.0152;8;3.5087;4.765
0.0152;8;3.5194;4.75
0.0152;8;3.5314;4.727
0.0152;8;3.5474;4.699
0.0152;8;3.5602;4.683
0.0152;8;3.5722;4.666
0.0152;8;3.5774;4.663
0.0152;8;3.604;4.656
0.0152;8;3.6205;4.666
0.0152;8;3.6293;4.676
0.0152;8;3.6305;4.677
0.0152;8;3.6333;4.68
0.0152;8;3.6489;4.676
0.0152;8;3.6738;4.67
0.0152;8;3.6753;4.669
0.0152;8;3.6946;4.647
0.0152;8;3.7115;4.625
0.0152;8;3.7127;4.624
0.0152;8;3.7296;4.602
0.0152;8;3.7446;4.577
0.0152;8;3.7584;4.547
0.0152;8;3.7661;4.528
0.0152;8;3.7708;4.517
0.0152;8;3.7821;4.484
0.0152;8;3.7852;4.476
0.0152;8;3.793;4.452
0.0152;8;3.8029;4.419
0.0152;8;3.8126;4.39
0.0152;8;3.8217;4.362
0.0152;8;3.8312;4.339
0.0152;8;3.8408;4.321
0.0152;8;3.8514;4.31
0.0152;8;3.8636;4.308
0.0152;8;3.8768;4.312
0.0152;8;3.8901;4.318
0.0152;8;3.9014;4.322
0.0152;8;3.9026;4.323
0.0152;8;3.9144;4.327
0.0152;8;3.9256;4.331
0.0152;8;3.9344;4.332
0.0152;8;3.9361;4.332
0.0152;8;3.9449;4.334
0.0152;8;3.9459;4.334
0.0152;8;3.9551;4.334
0.0152;8;3.9637;4.334
0.0152;8;3.9719;4.332
0.0152;8;3.9797;4.33
0.0152;8;3.9871;4.327
0.0152;8;3.9942;4.324
0.0152;8;3.9946;4.324
0.0152;8;4.0011;4.32
0.0152;8;4.0076;4.316
0.0152;8;4.0139;4.312
0.0152;8;4.0153;4.311
0.0152;8;4.0261;4.304
0.0152;8;4.0388;4.293
0.0152;8;4.0485;4.285
0.0152;8;4.0677;4.264
0.0152;8;4.0685;4.263
0.0152;8;4.0803;4.248
0.0152;8;4.0867;4.239
0.0152;8;4.0928;4.23
0.0152;8;4.1031;4.212
0.0152;8;4.1085;4.202
0.0152;8;4.1169;4.184
0.0152;8;4.1178;4.182
0.0152;8;4.1211;4.174
0.0152;8;4.1278;4.157
0.0152;8;4.131;4.148
0.0152;8;4.1381;4.125
0.0152;8;4.1425;4.108
0.0152;8;4.145;4.098
0.0152;8;4.1508;4.069
0.0152;8;4.152;4.061
0.0152;8;4.1552;4.039
0.0152;8;4.1585;4.008
0.0152;8;4.1589;4.004
0.0152;8;4.1604;3.986
0.0152;8;4.1618;3.956
0.0152;8;4.1624;3.93
0.0152;8;4.1625;3.928
0.0152;8;4.1625;3.882
0.0152;8;4.1612;3.84
0.0152;8;4.1609;3.835
0.0152;8;4.1585;3.795
0.0152;8;4.1539;3.737
0.0152;8;4.1497;3.697
0.0152;8;4.1477;3.678
0.0152;8;4.1406;3.619
0.0152;8;4.1328;3.56
0.0152;8;4.1245;3.502
0.0152;8;4.1229;3.487
0.0152;8;4.118;3.442
0.0152;8;4.1178;3.44
0.0152;8;4.121;3.445
0.0152;8;4.1313;3.464
0.0152;8;4.142;3.492
0.0152;8;4.1526;3.52
0.0152;8;4.1633;3.545
0.0152;8;4.1724;3.564
0.0152;8;4.1777;3.576
0.0152;8;4.1729;3.575
0.0152;8;4.1649;3.565
0.0152;8;4.1556;3.542
0.0152;8;4.1439;3.5
0.0152;8;4.1322;3.446
0.0152;8;4.1205;3.387
0.0152;8;4.1087;3.328
0.0152;8;4.0969;3.273
0.0152;8;4.085;3.219
0.0152;8;4.0731;3.168
0.0152;8;4.0611;3.119
0.0152;8;4.0492;3.07
0.0152;8;4.0372;3.023
0.0152;8;4.0252;2.976
0.0152;8;4.0132;2.93
0.0152;8;4.0012;2.885
0.0152;8;3.9891;2.841
0.0152;8;3.9771;2.797
0.0152;8;3.9651;2.753
0.0152;8;3.953;2.71
0.0152;8;3.9409;2.667
0.0152;8;3.9289;2.625
0.0152;8;3.9168;2.583
0.0152;8;3.9047;2.541
0.0152;8;3.8926;2.5
0.0152;8;3.8805;2.459
0.0152;8;3.8683;2.418
0.0152;8;3.8562;2.377
0.0152;8;3.8441;2.336
0.0152;8;3.832;2.296
0.0152;8;3.8199;2.256
0.0152;8;3.8078;2.216
0.0152;8;3.7957;2.175
0.0152;8;3.7836;2.136
0.0152;8;3.7715;2.096
0.0152;8;3.7595;2.057
0.0152;8;3.7478;2.02
0.0152;8;3.7365;1.984
0.0152;8;3.7254;1.951
0.0152;8;3.7148;1.922
0.0152;8;3.7049;1.9
0.0152;8;3.6961;1.887
0.0152;8;3.6874;1.877
0.0152;8;3.6787;1.862
0.0152;8;3.6728;1.845
0.0152;8;3.6667;1.808
0.0152;8;3.6583;1.743
0.0152;8;3.6515;1.675
0.0152;8;3.6465;1.617
0.0152;8;3.6422;1.565
0.0152;8;3.6378;1.507
0.0152;8;3.6365;1.49
0.0152;8;3.6341;1.458
0.0152;8;3.6336;1.451
0.0152;8;3.6291;1.392
0.0152;8;3.6247;1.331
0.0152;8;3.6207;1.274
0.0152;8;3.6167;1.214
0.0152;8;3.613;1.155
0.0152;8;3.6094;1.098
0.0152;8;3.6062;1.047
0.0152;8;3.6035;1.004
0.0152;8;3.602;0.979
0.0152;8;3.603;0.994
0.0152;8;3.6068;1.047
0.0152;8;3.6099;1.092
0.0152;8;3.613;1.138
0.0152;8;3.6164;1.187
0.0152;8;3.6199;1.238
0.0152;8;3.6233;1.288
0.0152;8;3.6273;1.344
0.0152;8;3.6324;1.412
0.0152;8;3.6371;1.47
0.0152;8;3.6441;1.539
0.0152;8;3.6492;1.573
0.0152;8;3.6553;1.579
0.0152;8;3.6616;1.581
0.0152;8;3.6684;1.581
0.0152;8;3.6747;1.585
0.0152;8;3.6822;1.596
0.0152;8;3.6903;1.615
0.0152;8;3.6984;1.637
0.0152;8;3.7068;1.663
0.0152;8;3.7155;1.691
0.0152;8;3.7245;1.72
0.0152;8;3.7342;1.753
0.0152;8;3.7433;1.783
0.0152;8;3.7524;1.814
0.0152;8;3.7612;1.843
0.0152;8;3.7563;1.821
0.0152;8;3.7496;1.787
0.0152;8;3.7492;1.784
0.0152;8;3.7441;1.742
0.0152;8;3.7381;1.711
0.0152;8;3.7309;1.68
0.0152;8;3.7195;1.633
0.0152;8;3.7104;1.599
0.0152;8;3.7012;1.565
0.0152;8;3.693;1.536
0.0152;8;3.6847;1.508
0.0152;8;3.6781;1.488
0.0152;8;3.6706;1.468
0.0152;8;3.6633;1.452
0.0152;8;3.6564;1.44
0.0152;8;3.6504;1.427
0.0152;8;3.6412;1.399
0.0152;8;3.6323;1.338
0.0152;8;3.6257;1.269
0.0152;8;3.624;1.249
0.0152;8;3.6213;1.213
0.0152;8;3.6204;1.199
0.0152;8;3.6192;1.187
0.0152;8;3.6152;1.132
0.0152;8;3.6113;1.079
0.0152;8;3.6076;1.025
0.0152;8;3.6039;0.972
0.0152;8;3.6001;0.918
0.0152;8;3.5961;0.863
0.0152;8;3.5922;0.808
