Zini;logAge;logTe;logg
0.0152;10.0000;3.3625;5.2170
0.0152;10.0000;3.3884;5.1840
0.0152;10.0000;3.4026;5.1650
0.0152;10.0000;3.4232;5.1370
0.0152;10.0000;3.4435;5.1020
0.0152;10.0000;3.4502;5.0870
0.0152;10.0000;3.4571;5.0730
0.0152;10.0000;3.4758;5.0250
0.0152;10.0000;3.4921;4.9740
0.0152;10.0000;3.5027;4.9300
0.0152;10.0000;3.5113;4.8850
0.0152;10.0000;3.5114;4.8840
0.0152;10.0000;3.5153;4.8700
0.0152;10.0000;3.5225;4.8420
0.0152;10.0000;3.5350;4.7930
0.0152;10.0000;3.5504;4.7420
0.0152;10.0000;3.5707;4.6860
0.0152;10.0000;3.5958;4.6490
0.0152;10.0000;3.6267;4.6280
0.0152;10.0000;3.6331;4.6250
0.0152;10.0000;3.6579;4.6100
0.0152;10.0000;3.6700;4.6010
0.0152;10.0000;3.6833;4.5900
0.0152;10.0000;3.6875;4.5860
0.0152;10.0000;3.6915;4.5790
0.0152;10.0000;3.7006;4.5630
0.0152;10.0000;3.7088;4.5470
0.0152;10.0000;3.7109;4.5420
0.0152;10.0000;3.7160;4.5300
0.0152;10.0000;3.7232;4.5110
0.0152;10.0000;3.7295;4.4920
0.0152;10.0000;3.7319;4.4850
0.0152;10.0000;3.7321;4.4840
0.0152;10.0000;3.7381;4.4600
0.0152;10.0000;3.7436;4.4340
0.0152;10.0000;3.7483;4.4090
0.0152;10.0000;3.7493;4.4030
0.0152;10.0000;3.7528;4.3770
0.0152;10.0000;3.7570;4.3390
0.0152;10.0000;3.7599;4.3000
0.0152;10.0000;3.7607;4.2850
0.0152;10.0000;3.7618;4.2650
0.0152;10.0000;3.7620;4.2590
0.0152;10.0000;3.7628;4.2250
0.0152;10.0000;3.7628;4.1960
0.0152;10.0000;3.7621;4.1580
0.0152;10.0000;3.7610;4.1290
0.0152;10.0000;3.7605;4.1190
0.0152;10.0000;3.7568;4.0710
0.0152;10.0000;3.7560;4.0640
0.0152;10.0000;3.7489;4.0110
0.0152;10.0000;3.7396;3.9650
0.0152;10.0000;3.7291;3.9230
0.0152;10.0000;3.7192;3.8850
0.0152;10.0000;3.7096;3.8360
0.0152;10.0000;3.7015;3.7740
0.0152;10.0000;3.6980;3.7360
0.0152;10.0000;3.6946;3.6730
0.0152;10.0000;3.6923;3.6130
0.0152;10.0000;3.6910;3.5660
0.0152;10.0000;3.6898;3.5180
0.0152;10.0000;3.6886;3.4700
0.0152;10.0000;3.6876;3.4220
0.0152;10.0000;3.6866;3.3780
0.0152;10.0000;3.6855;3.3320
0.0152;10.0000;3.6842;3.2810
0.0152;10.0000;3.6830;3.2340
0.0152;10.0000;3.6817;3.1890
0.0152;10.0000;3.6804;3.1440
0.0152;10.0000;3.6789;3.0940
0.0152;10.0000;3.6769;3.0350
0.0152;10.0000;3.6753;2.9860
0.0152;10.0000;3.6736;2.9400
0.0152;10.0000;3.6720;2.8940
0.0152;10.0000;3.6697;2.8340
0.0152;10.0000;3.6673;2.7740
0.0152;10.0000;3.6649;2.7150
0.0152;10.0000;3.6624;2.6550
0.0152;10.0000;3.6600;2.5980
0.0152;10.0000;3.6577;2.5440
0.0152;10.0000;3.6559;2.5020
0.0152;10.0000;3.6579;2.5390
0.0152;10.0000;3.6606;2.5910
0.0152;10.0000;3.6608;2.5950
0.0152;10.0000;3.6583;2.5380
0.0152;10.0000;3.6556;2.4800
0.0152;10.0000;3.6529;2.4210
0.0152;10.0000;3.6502;2.3640
0.0152;10.0000;3.6474;2.3050
0.0152;10.0000;3.6446;2.2490
0.0152;10.0000;3.6417;2.1910
0.0152;10.0000;3.6389;2.1340
0.0152;10.0000;3.6360;2.0770
0.0152;10.0000;3.6330;2.0190
0.0152;10.0000;3.6301;1.9630
0.0152;10.0000;3.6271;1.9070
0.0152;10.0000;3.6241;1.8500
0.0152;10.0000;3.6211;1.7940
0.0152;10.0000;3.6180;1.7370
0.0152;10.0000;3.6150;1.6830
0.0152;10.0000;3.6119;1.6270
0.0152;10.0000;3.6087;1.5720
0.0152;10.0000;3.6056;1.5180
0.0152;10.0000;3.6024;1.4630
0.0152;10.0000;3.5992;1.4080
0.0152;10.0000;3.5960;1.3540
0.0152;10.0000;3.5927;1.3000
0.0152;10.0000;3.5895;1.2470
0.0152;10.0000;3.5862;1.1950
0.0152;10.0000;3.5828;1.1410
0.0152;10.0000;3.5795;1.0890
0.0152;10.0000;3.5761;1.0380
0.0152;10.0000;3.5726;0.9850
0.0152;10.0000;3.5691;0.9330
0.0152;10.0000;3.5648;0.8700
0.0152;10.0000;3.5605;0.8080
0.0152;10.0000;3.5561;0.7460
0.0152;10.0000;3.5517;0.6840
0.0152;10.0000;3.5472;0.6230
0.0152;10.0000;3.5427;0.5620
0.0152;10.0000;3.5381;0.5010
0.0152;10.0000;3.5336;0.4420
0.0152;10.0000;3.5290;0.3820
0.0152;10.0000;3.5244;0.3230
0.0152;10.0000;3.5197;0.2650
0.0152;10.0000;3.5150;0.2070
0.0152;10.0000;3.5103;0.1490
0.0152;10.0000;3.5056;0.0920
0.0152;10.0000;3.5010;0.0360
0.0152;10.0000;3.4964;-0.0210
0.0152;10.0000;3.4929;-0.0630
0.0152;10.0000;3.6673;2.3590
0.0152;10.0000;3.6668;2.3490
0.0152;10.0000;3.6666;2.3450
0.0152;10.0000;3.6668;2.3460
0.0152;10.0000;3.6672;2.3500
0.0152;10.0000;3.6677;2.3550
0.0152;10.0000;3.6683;2.3600
0.0152;10.0000;3.6688;2.3650
0.0152;10.0000;3.6693;2.3700
0.0152;10.0000;3.6698;2.3750
0.0152;10.0000;3.6702;2.3790
0.0152;10.0000;3.6707;2.3830
0.0152;10.0000;3.6710;2.3860
0.0152;10.0000;3.6713;2.3890
0.0152;10.0000;3.6715;2.3900
0.0152;10.0000;3.6716;2.3910
0.0152;10.0000;3.6718;2.3930
0.0152;10.0000;3.6720;2.3940
0.0152;10.0000;3.6722;2.3950
0.0152;10.0000;3.6723;2.3960
0.0152;10.0000;3.6724;2.3960
0.0152;10.0000;3.6724;2.3960
0.0152;10.0000;3.6724;2.3940
0.0152;10.0000;3.6724;2.3940
0.0152;10.0000;3.6723;2.3940
0.0152;10.0000;3.6722;2.3910
0.0152;10.0000;3.6720;2.3880
0.0152;10.0000;3.6718;2.3840
0.0152;10.0000;3.6714;2.3790
0.0152;10.0000;3.6710;2.3720
0.0152;10.0000;3.6705;2.3650
0.0152;10.0000;3.6699;2.3560
0.0152;10.0000;3.6692;2.3460
0.0152;10.0000;3.6686;2.3380
0.0152;10.0000;3.6680;2.3290
0.0152;10.0000;3.6655;2.2920
0.0152;10.0000;3.6619;2.2390
0.0152;10.0000;3.6583;2.1870
0.0152;10.0000;3.6545;2.1310
0.0152;10.0000;3.6510;2.0770
0.0152;10.0000;3.6475;2.0250
0.0152;10.0000;3.6440;1.9720
0.0152;10.0000;3.6405;1.9190
0.0152;10.0000;3.6382;1.8830
0.0152;10.0000;3.6373;1.8690
0.0152;10.0000;3.6333;1.8060
0.0152;10.0000;3.6300;1.7540
0.0152;10.0000;3.6289;1.7370
0.0152;10.0000;3.6318;1.7820
0.0152;10.0000;3.6341;1.8170
0.0152;10.0000;3.6308;1.7670
0.0152;10.0000;3.6272;1.7120
0.0152;10.0000;3.6237;1.6570
0.0152;10.0000;3.6201;1.6000
0.0152;10.0000;3.6165;1.5440
0.0152;10.0000;3.6129;1.4880
0.0152;10.0000;3.6092;1.4310
0.0152;10.0000;3.6056;1.3740
0.0152;10.0000;3.6019;1.3170
0.0152;10.0000;3.5982;1.2600
0.0152;10.0000;3.5942;1.2020
0.0152;10.0000;3.5891;1.1400
0.0152;10.0000;3.5816;1.0680
0.0152;10.0000;3.5773;1.0080
0.0152;10.0000;3.5731;0.9480
0.0152;10.0000;3.5687;0.8870
0.0152;10.0000;3.5640;0.8220
0.0152;10.0000;3.5591;0.7580
0.0152;10.0000;3.5545;0.6970
0.0152;10.0000;3.5497;0.6370
0.0152;10.0000;3.5448;0.5750
0.0152;10.0000;3.5400;0.5150
0.0152;10.0000;3.5354;0.4580
0.0152;10.0000;3.5305;0.4000
0.0152;10.0000;3.5254;0.3390
0.0152;10.0000;3.5203;0.2790
