Zini;logAge;logTe;logg
0.0152;6;4.6558;4.035
0.0152;6;4.6575;4.027
0.0152;6;4.6606;4.009
0.0152;6;4.663;3.989
0.0152;6;4.6649;3.954
0.0152;6;4.665;3.95
0.0152;6;4.6647;3.909
0.0152;6;4.6636;3.887
0.0152;6;4.6621;3.866
0.0152;6;4.6519;3.772
0.0152;6;4.6531;3.733
0.0152;6;4.6541;3.722
