Zini;logAge;logTe;logg
0.0152;9;3.3657;5.191
0.0152;9;3.3893;5.17
0.0152;9;3.4228;5.135
0.0152;9;3.4259;5.131
0.0152;9;3.443;5.102
0.0152;9;3.4495;5.088
0.0152;9;3.4565;5.073
0.0152;9;3.4752;5.03
0.0152;9;3.4916;4.991
0.0152;9;3.5051;4.941
0.0152;9;3.5062;4.935
0.0152;9;3.5118;4.916
0.0152;9;3.5125;4.913
0.0152;9;3.5233;4.866
0.0152;9;3.5353;4.815
0.0152;9;3.5498;4.764
0.0152;9;3.5535;4.755
0.0152;9;3.5684;4.719
0.0152;9;3.5728;4.713
0.0152;9;3.5914;4.687
0.0152;9;3.5998;4.68
0.0152;9;3.6127;4.669
0.0152;9;3.6174;4.666
0.0152;9;3.6454;4.656
0.0152;9;3.6474;4.655
0.0152;9;3.674;4.653
0.0152;9;3.6753;4.651
0.0152;9;3.6943;4.63
0.0152;9;3.6952;4.629
0.0152;9;3.7134;4.607
0.0152;9;3.7309;4.582
0.0152;9;3.7337;4.577
0.0152;9;3.7467;4.554
0.0152;9;3.7608;4.523
0.0152;9;3.7657;4.51
0.0152;9;3.7734;4.488
0.0152;9;3.7848;4.451
0.0152;9;3.7897;4.434
0.0152;9;3.7952;4.413
0.0152;9;3.805;4.375
0.0152;9;3.8142;4.338
0.0152;9;3.8228;4.303
0.0152;9;3.8243;4.298
0.0152;9;3.8315;4.272
0.0152;9;3.8402;4.245
0.0152;9;3.8479;4.227
0.0152;9;3.8497;4.222
0.0152;9;3.858;4.206
0.0152;9;3.8594;4.203
0.0152;9;3.8599;4.202
0.0152;9;3.8683;4.183
0.0152;9;3.8688;4.182
0.0152;9;3.8755;4.163
0.0152;9;3.876;4.161
0.0152;9;3.8801;4.144
0.0152;9;3.8822;4.133
0.0152;9;3.8841;4.122
0.0152;9;3.8872;4.101
0.0152;9;3.8901;4.077
0.0152;9;3.8911;4.065
0.0152;9;3.8924;4.049
0.0152;9;3.8935;4.023
0.0152;9;3.8936;4.021
0.0152;9;3.894;3.995
0.0152;9;3.8938;3.973
0.0152;9;3.8936;3.962
0.0152;9;3.8925;3.929
0.0152;9;3.8915;3.912
0.0152;9;3.8897;3.885
0.0152;9;3.8855;3.838
0.0152;9;3.8805;3.792
0.0152;9;3.8742;3.744
0.0152;9;3.8736;3.74
0.0152;9;3.8668;3.694
0.0152;9;3.8585;3.642
0.0152;9;3.8553;3.622
0.0152;9;3.8489;3.584
0.0152;9;3.8414;3.542
0.0152;9;3.8341;3.494
0.0152;9;3.832;3.477
0.0152;9;3.8317;3.474
0.0152;9;3.8377;3.478
0.0152;9;3.847;3.494
0.0152;9;3.8569;3.515
0.0152;9;3.8668;3.535
0.0152;9;3.8767;3.554
0.0152;9;3.8863;3.57
0.0152;9;3.8953;3.583
0.0152;9;3.9003;3.592
0.0152;9;3.8955;3.596
0.0152;9;3.8881;3.594
0.0152;9;3.8791;3.575
0.0152;9;3.8676;3.536
0.0152;9;3.856;3.483
0.0152;9;3.8444;3.428
0.0152;9;3.8328;3.377
0.0152;9;3.8216;3.331
0.0152;9;3.8109;3.29
0.0152;9;3.801;3.255
0.0152;9;3.7916;3.224
0.0152;9;3.7819;3.198
0.0152;9;3.7714;3.176
0.0152;9;3.7631;3.165
0.0152;9;3.7546;3.161
0.0152;9;3.7473;3.162
0.0152;9;3.7412;3.167
0.0152;9;3.7336;3.172
0.0152;9;3.728;3.173
0.0152;9;3.7194;3.146
0.0152;9;3.7106;3.09
0.0152;9;3.7048;3.028
0.0152;9;3.7008;2.976
0.0152;9;3.6973;2.924
0.0152;9;3.6942;2.871
0.0152;9;3.6912;2.82
0.0152;9;3.6883;2.769
0.0152;9;3.6856;2.719
0.0152;9;3.683;2.67
0.0152;9;3.6811;2.634
0.0152;9;3.6804;2.621
0.0152;9;3.6778;2.572
0.0152;9;3.6772;2.559
0.0152;9;3.6766;2.547
0.0152;9;3.674;2.497
0.0152;9;3.6714;2.447
0.0152;9;3.6687;2.397
0.0152;9;3.666;2.348
0.0152;9;3.6633;2.298
0.0152;9;3.6605;2.249
0.0152;9;3.6569;2.184
0.0152;9;3.6537;2.128
0.0152;9;3.6508;2.079
0.0152;9;3.6475;2.021
0.0152;9;3.6442;1.964
0.0152;9;3.6405;1.902
0.0152;9;3.637;1.843
0.0152;9;3.6338;1.789
0.0152;9;3.6321;1.761
0.0152;9;3.6337;1.786
0.0152;9;3.6367;1.837
0.0152;9;3.6398;1.888
0.0152;9;3.6436;1.953
0.0152;9;3.6477;2.021
0.0152;9;3.6516;2.088
0.0152;9;3.6554;2.153
0.0152;9;3.659;2.216
0.0152;9;3.6626;2.279
0.0152;9;3.6661;2.339
0.0152;9;3.6692;2.395
0.0152;9;3.6723;2.449
0.0152;9;3.6753;2.502
0.0152;9;3.6786;2.561
0.0152;9;3.6814;2.612
