CNAME,GES_FLD,RA,DEC,SNR,TEFF,E_TEFF,LOGG,E_LOGG,FEH,VRAD,E_VRAD,C1,NA1,MG1,AL1,SI1,SI2,CA1,SC1,SC2,TI1,TI2,V1,CR1,CR2,MN1,FE1,FE2,CO1,NI1,CU1,ZN1,Y2,ZR1,BA2,LA2,CE2,ND2,EU2
08391618-5316486,IC2391,129.81741666666443,-53.28016666666576,109.928375,10600.0,750.0,3.801646,0.3,0.0,-535.8184,0.5633241999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08421899-5306002,IC2391,130.57912499999782,-53.10005555555465,201.24108999999999,12600.0,750.0,3.9,0.3,-0.2,15.8669,0.31169325,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08395937-5315394,IC2391,129.9973749999978,-53.26094444444355,430.12255999999996,10200.0,750.0,3.9,0.3,0.8,16.04435,3.0055342,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08392384-5326231,IC2391,129.84933333333117,-53.439749999999094,343.04077,14790.0,750.0,4.0597987,0.2,-0.2,25.4406,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08393496-5318577,IC2391,129.89566666666448,-53.31602777777686,372.06436,10231.0,750.0,3.6004114,0.45,0.0,25.484402,4.2426405,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08384480-5305253,IC2391,129.68666666666448,-53.09036111111023,322.3564,11801.0,750.0,4.034156299999999,0.2,-0.7,30.719,0.3115073,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08391789-5317055,IC2391,129.82454166666446,-53.28486111111021,67.16230999999999,10378.0,750.0,4.2609449999999995,0.2,0.0,32.6933,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08385073-5225382,IC2391,129.7113749999978,-52.4272777777769,239.47517000000002,7037.0,500.0,4.0,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08401746-5300554,IC2391,130.0727499999978,-53.015388888888,296.8359,14250.0,750.0,3.9814816,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08412588-5322415,IC2391,130.35783333333114,-53.378194444443544,144.257,4835.0,0.0,4.47,0.0,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08422538-5306501,IC2391,130.60574999999778,-53.11391666666575,372.33063,17090.0,750.0,4.0144033,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08431790-5236112,IC2391,130.82458333333108,-52.60311111111022,71.72803499999998,6527.0,0.0,4.02,0.0,-0.06,,,,,,,,,6.011,,,,4.5,,,,,6.76,6.59,,6.18,3.77,,1.22,,,,,,
10444548-6421013,IC2602,161.18949999999722,-64.35036111111002,24.317989999999998,4834.0,45.0,2.6940668,0.09516603,-0.164971,-44.252098,0.36839917,,5.96,7.3199997,6.33,7.36,7.41,6.15,3.03,3.15,4.95,4.85,4.04,5.41,5.4449997,5.33,7.24,7.3,4.87,6.13,3.97,4.204,1.97,2.62,,0.85,,1.59,0.48000002
10495515-6357402,IC2602,162.4797916666639,-63.961166666665584,213.60957000000002,7121.0,0.0,3.98,0.0,-0.14,-40.1894,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10514339-6336283,IC2602,162.9307916666639,-63.60786111111005,103.56489,4989.0,15.0,2.589697,0.0210182,-0.222437,-39.98095,0.36460929999999997,7.7,5.94,7.21,6.0,7.21,6.85,6.2000003,2.75,3.18,4.59,4.7,3.74,5.23,5.21,5.0,7.16,7.2,4.64,5.9,3.73,4.3640003,1.9,2.26,2.0440001,0.77,1.5,1.43,0.120000005
10444061-6456332,IC2602,161.16920833333063,-64.94255555555446,118.17993,4869.0,8.0,2.764452,0.083001815,-0.025190452000000002,-35.448196,0.36450177,8.07,6.18,7.43,6.3599997,7.47,7.34,6.4,3.0,3.45,4.91,4.95,4.04,5.53,5.46,5.28,7.4,7.46,4.89,6.17,4.14,4.324,2.13,2.59,2.334,0.99,1.72,1.59,0.39
10343957-6407258,IC2602,158.66487499999738,-64.12383333333227,104.86341000000002,4704.0,18.0,2.5323447999999997,0.06741372,7.682276e-05,-34.4871,0.36461022,8.22,6.14,7.42,6.39,7.53,7.45,6.33,2.85,3.38,4.78,4.95,3.98,5.46,5.46,5.29,7.39,7.44,4.95,6.24,4.21,4.384000299999999,2.14,2.43,2.164,0.85,1.6400001,1.54,0.24000001
10415767-6409342,IC2602,160.49029166666398,-64.1594999999989,51.468533,3926.0,0.0,1.6,0.0,-0.09,-31.19965,0.3667699,,6.02,7.61,6.1,7.51,,6.1,2.58,3.25,4.65,4.78,3.83,5.28,6.23,,7.33,7.72,5.02,6.23,3.86,3.9539999999999997,2.16,2.41,2.3040001,0.8,1.6600001,1.56,0.22
10454789-6500411,IC2602,161.44954166666392,-65.01141666666554,104.10765,7333.0,750.0,3.5,0.45,0.0,-28.8032,0.46564463,,5.2,7.1,7.18,7.15,,5.8710002999999995,,2.78,5.21,4.48,5.107,6.14,5.5249996,6.52,,,6.07,6.66,4.41,4.174000299999999,2.07,,0.8140000000000001,,,2.37,
10321965-6322325,IC2602,158.0818749999973,-63.37569444444337,96.31793,4702.0,18.0,2.5758542999999996,0.050365478,0.045209352,-24.94155,0.36470085,8.35,6.4,7.6,6.56,7.64,7.47,6.4700003,3.12,3.47,4.96,5.01,4.25,5.67,5.6,5.47,7.51,7.58,5.12,6.34,4.33,4.484,2.21,2.6,2.194,0.93,1.71,1.62,0.47000003
10405443-6447593,IC2602,160.22679166666398,-64.79980555555447,100.217636,4981.0,4.0,2.6927006,0.052681554000000005,0.039055932,-23.637798,0.3647571,8.02,6.49,7.5499997,6.48,7.55,7.38,6.4900002,3.12,3.5,4.97,4.99,4.16,5.62,5.51,5.44,7.51,7.56,5.03,6.3,4.17,4.434,2.16,2.72,2.224,0.99,1.7700001,1.6,0.51
10461503-6408551,IC2602,161.5626249999973,-64.1486388888878,50.157024,5003.0,14.0,2.8772936000000002,0.017369946,0.011600263999999999,-22.122898,0.3656438,7.93,6.21,7.5,6.45,7.5,7.29,6.44,3.13,3.45,5.06,4.97,4.21,5.57,5.58,5.44,7.49,7.49,4.98,6.26,4.09,4.574,2.01,2.84,2.174,1.07,1.9100001,1.71,0.49
10492243-6502120,IC2602,162.34345833333055,-65.03666666666557,86.96033,5041.0,28.0,2.852132,0.007681671,-0.11444080599999999,-22.076649,0.36479259999999997,7.86,6.06,7.39,6.33,7.34,7.15,6.33,3.134,3.3700001000000004,4.88,4.87,3.98,5.5,5.39,5.26,7.34,7.35,4.88,6.05,4.07,4.434,1.96,2.68,2.0740001,0.91,1.62,1.61,0.96
10291466-6439127,IC2602,157.31108333333069,-64.65352777777667,102.86553,5117.0,20.0,3.281879,0.040612526,-0.58257306,-18.844498,0.36494099999999996,7.66,5.6299996,7.2799997,6.06,7.08,7.02,6.09,2.66,2.97,4.58,4.63,3.6499998999999996,5.08,4.935,4.69,6.9,6.93,4.47,5.68,3.6,4.134000299999999,1.48,2.04,1.5040001,1.23,,1.06,0.05
10453134-6451549,IC2602,161.3805833333306,-64.86524999999891,90.35684,4920.0,17.0,2.7361383,0.112611026,-0.13386571,-18.472248,0.36473164,7.98,5.98,7.38,6.2599998,7.36,7.19,6.23,2.89,3.3500001000000004,4.76,4.9,3.9199998,5.35,5.41,5.14,7.26,7.39,4.87,6.08,4.04,4.4440002,1.85,2.32,1.944,0.75,1.4100001,1.42,0.25
10463918-6411459,IC2602,161.66324999999725,-64.19608333333225,112.16361,4969.0,47.0,2.711107,0.11325117,-0.30127242,-18.179049,0.36453432,7.83,6.0,7.35,6.24,7.31,7.12,6.2200003,2.63,3.24,4.73,4.76,3.82,5.28,5.2400002,5.08,7.21,7.21,4.75,5.97,3.88,4.394,1.84,2.19,1.9240000000000002,0.71,1.36,1.35,0.20000002
10460575-6420184,IC2602,161.5239583333306,-64.33844444444337,143.77213,6065.0,500.0,3.5658436,0.45,0.0,-17.559849,0.37059358,8.24,5.61,7.31,5.97,7.05,7.03,5.901,3.924,2.61,4.91,4.62,4.167,5.39,5.325,5.07,7.02,7.04,5.18,5.96,3.81,4.053999999999999,1.84,3.8,1.1040001,,2.23,1.77,
10411636-6454552,IC2602,160.31816666666398,-64.91533333333221,106.22071000000001,4858.0,15.0,2.7449749,0.030222451,0.1562416,-17.5124,0.36459148,8.11,6.48,7.67,6.5899997,7.7,7.49,6.61,3.21,3.5400002,5.02,5.04,4.31,5.78,5.64,5.57,7.62,7.61,5.14,6.43,4.35,4.593999999999999,2.28,2.76,2.234,1.03,1.75,1.67,0.55
10432523-6413062,IC2602,160.85512499999732,-64.2183888888878,187.68846000000002,4139.0,0.0,2.06,0.0,-0.18,-17.31005,0.36485606,,6.36,7.56,6.39,7.65,,6.711,3.3939999999999997,3.52,5.07,5.03,4.2469997,5.64,5.685,4.69,7.44,7.61,5.14,6.53,4.51,4.343999999999999,2.18,2.4,2.5140000000000002,1.16,1.8900001,2.25,0.69
10313722-6327243,IC2602,157.90508333333068,-63.45674999999894,138.80345,5236.0,8.0,3.094631,0.059816565,0.07391445,-17.197548,0.36449593,7.84,6.48,7.48,6.39,7.49,7.32,6.52,3.14,3.45,4.95,4.96,4.14,5.67,5.56,5.4,7.55,7.56,4.93,6.26,4.07,4.604,2.17,2.75,2.444,1.08,1.82,1.67,0.41000003
10312182-6329281,IC2602,157.84091666666401,-63.491138888887825,125.05241399999998,4643.0,12.0,2.4743072999999995,0.033868477,-0.18463059,-17.04135,0.36445865,,5.96,7.37,6.2599998,7.33,7.22,6.25,2.84,3.3000002,4.76,4.84,3.9399998,5.32,5.34,5.15,7.22,7.26,4.79,6.05,3.98,4.4639999999999995,1.81,2.27,1.8940000000000001,0.68,1.46,1.4,0.09
10434029-6444223,IC2602,160.91787499999725,-64.7395277777767,116.78043000000001,4927.0,11.0,2.545929,0.06261646,-0.24587911,-16.5564,0.36452070000000003,7.93,5.97,7.29,6.22,7.3,7.14,6.23,2.82,3.21,4.73,4.77,3.83,5.29,5.26,5.05,7.2,7.2,4.71,5.97,3.88,4.343999999999999,1.69,2.21,1.8340001,0.6,1.4000001,1.25,0.02000001
10384635-6400489,IC2602,159.69312499999734,-64.01358333333226,194.93361000000002,6005.0,0.0,3.86,0.0,0.12,-16.4858,0.52958137,8.21,6.34,7.58,6.47,7.54,7.65,6.581,,3.37,5.03,5.13,4.377,5.82,6.0249996,5.46,7.7,7.73,4.97,6.26,4.66,4.704,2.57,3.85,2.734,,,2.06,0.64
10412220-6447128,IC2602,160.3424999999973,-64.7868888888878,120.984726,5018.0,16.0,2.9408586,0.04048921,0.15604429,-16.327198000000006,0.36450326,8.09,6.44,7.61,6.47,7.64,7.41,6.58,3.13,3.5300002,5.09,5.06,4.23,5.76,5.62,5.54,7.63,7.65,5.05,6.41,4.22,4.553999999999999,2.33,2.82,2.404,1.15,1.88,1.71,0.59000003
10361111-6409576,IC2602,159.04629166666396,-64.16599999999889,138.26398999999998,4966.0,46.0,2.6636927000000004,0.07311096,-0.04699206,-16.22905,0.36447668,7.91,6.21,7.34,6.27,7.35,7.16,6.38,2.91,3.26,4.78,4.74,4.0,5.46,5.33,5.21,7.37,7.38,4.77,6.11,4.0,4.394,2.04,2.65,2.3040001,0.88,1.73,1.49,0.24000001
10430175-6411523,IC2602,160.75729166666397,-64.19786111111003,67.65259,7006.0,500.0,2.5,1.2,0.0,-15.975249,0.41120943,7.61,6.23,7.76,,7.51,,6.521,,2.82,4.72,4.41,5.3069997,5.8,5.375,5.78,,,6.49,6.35,4.42,4.3640003,2.26,,2.2740002,,,,
10482491-6353483,IC2602,162.10379166666394,-63.89674999999894,178.17197,4996.0,22.0,3.0936632,0.02521727,0.03837831,-15.5873995,0.36424702,8.03,6.24,7.5499997,6.39,7.52,7.29,6.5,3.05,3.44,5.01,4.98,4.14,5.6,5.4900002,5.41,7.53,7.5,4.94,6.26,4.25,4.494,2.18,2.7,2.2940001,1.02,1.7900001,1.67,0.36
10425333-6406020,IC2602,160.7222083333306,-64.10055555555445,135.4787,5000.0,26.0,2.7924707000000004,0.022721045,-0.033120815,-15.375649,0.36441508,7.89,6.21,7.509999799999999,6.3399997,7.45,7.29,6.42,2.99,3.3300002,4.9,4.89,4.03,5.56,5.4,5.3,7.43,7.42,4.88,6.16,4.17,4.604,2.07,2.63,2.174,1.02,1.7,1.6,0.29
10501173-6332406,IC2602,162.54887499999725,-63.54461111111004,108.51955,4883.0,11.0,2.8957398,0.065736,0.22390161,-14.78725,0.3646,8.21,6.74,7.7799997,6.73,7.83,7.62,6.67,3.32,3.65,5.21,5.12,4.45,5.85,5.84,5.7,7.7,7.74,5.29,6.54,4.4,4.414,2.25,2.81,2.214,1.04,1.7900001,1.63,0.62
10502012-6342055,IC2602,162.58383333333055,-63.7015277777767,148.82419,4746.0,30.0,2.673359,0.0033835287,0.08895155,-14.43255,0.36437562,8.16,6.37,7.63,6.5299997,7.69,7.51,6.4900002,3.07,3.5,4.98,5.01,4.17,5.66,5.63,5.56,7.56,7.64,5.08,6.36,4.27,4.474,2.24,2.63,2.244,1.0,1.7700001,1.72,0.54
10415106-6413256,IC2602,160.46274999999727,-64.22377777777668,52.305588,3915.0,0.0,1.58,0.0,-0.05,-9.000199,0.3669863,8.13,0.99,7.75,6.3399997,7.87,9.27,6.37,2.9339999999999997,3.49,4.91,4.67,4.08,5.51,5.6949997,,7.46,7.95,5.15,6.49,4.37,,1.83,2.15,2.0540001,0.75,1.5500001,1.42,0.21000001
10431551-6404238,IC2602,160.81462499999728,-64.07327777777671,72.638275,7666.0,750.0,5.0,0.2,0.0,0.5186,0.32689932,7.86,5.71,7.04,,7.07,,5.771,,3.14,5.47,4.96,5.3870000000000005,5.52,5.325,5.54,,,5.74,6.37,4.1,,2.45,,0.97400004,,,2.83,
10464058-6421577,IC2602,161.66908333333063,-64.36602777777668,127.5133,7589.0,750.0,2.1049382999999997,1.2,0.0,7.9330997000000005,3.0256993999999997,7.79,6.25,7.65,,7.68,,6.341,,2.75,4.62,4.47,5.5470000000000015,5.73,5.205,6.17,,,7.0,6.33,,4.303999999999999,2.24,,1.544,,,,
10504603-6428460,IC2602,162.6917916666639,-64.47944444444336,270.40297999999996,10557.0,750.0,4.348868,0.2,0.2,20.9677,0.31153694,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10410641-6428279,IC2602,160.27670833333062,-64.47441666666559,312.88208,11500.0,750.0,4.0041150000000005,0.2,0.0,23.5057,0.31165367,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10404211-6439116,IC2602,160.17545833333062,-64.65322222222112,328.98865,11158.0,750.0,4.151031,0.2,-0.3,29.4947,0.31180114,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10303798-6330550,IC2602,157.6582499999973,-63.515277777776696,76.75804000000002,4691.0,29.0,2.6795819,0.04248758,-0.047953717,32.0572,0.36512485,8.15,6.1299996,7.64,6.52,7.45,7.23,6.39,3.05,3.41,5.01,4.97,4.14,5.47,5.31,5.18,7.27,7.31,4.99,6.15,4.17,4.324,1.96,2.4,1.7440001,0.56,1.45,1.48,0.39
10423748-6411137,IC2602,160.65616666666392,-64.18713888888779,190.18903,4751.0,15.0,2.483406,0.06631144,-0.04911535,37.870003000000004,0.36423495,8.1,6.16,7.5,6.41,7.47,7.32,6.37,2.94,3.3600001000000006,4.81,4.93,4.02,5.47,5.44,5.32,7.38,7.44,4.91,6.18,4.12,4.314,2.01,2.46,2.194,0.89,1.57,1.51,0.31
10463154-6329392,IC2602,161.6314166666639,-63.49422222222113,118.11485,4743.0,38.0,2.5052247000000003,0.02014826,-0.06005294200000001,44.34365,0.36457416,8.05,6.0899997,7.47,6.3399997,7.47,7.28,6.34,3.074,3.3000002,4.81,4.86,3.9099998,5.45,5.4300003,5.39,7.35,7.39,4.89,6.15,4.13,4.324,1.91,2.49,2.004,0.83,1.58,1.51,0.41000003
10414561-6534337,IC2602,160.44004166666394,-65.57602777777666,97.01499,5119.0,19.0,2.921322,0.04077434,-0.049642045,45.384803999999995,0.36466783,7.88,6.3399997,7.44,6.35,7.45,7.3,6.39,3.03,3.43,4.84,4.93,4.02,5.52,5.4900002,5.28,7.4,7.47,4.89,6.21,4.1,4.513999999999999,2.02,2.46,2.194,0.98,1.73,1.56,0.42000002
10452008-6355271,IC2602,161.33366666666396,-63.92419444444336,73.818596,4962.0,19.0,3.3439300000000003,0.05153272,0.034930214,46.55325300000001,0.365169,8.16,6.24,7.61,6.5,7.53,7.38,6.4900002,3.16,3.52,5.01,5.03,4.2599998,5.62,5.5,5.45,7.51,7.51,5.07,6.39,4.22,4.524,2.23,2.49,2.0740001,0.91,1.6700001,1.54,0.29
10445489-6354018,IC2602,161.22870833333064,-63.90049999999894,109.791855,4690.0,6.0,2.1765632999999998,0.05490930000000002,-0.6136579000000001,47.2901,0.3645481,7.71,5.5099998,7.0499997,5.95,6.98,6.89,5.94,2.43,2.8200002,4.42,4.51,3.4299998,4.81,4.7949996,4.48,6.69,6.74,4.29,5.53,3.42,4.053999999999999,1.39,1.97,1.324,0.09,0.77,0.91,-0.14
10441221-6403452,IC2602,161.05087499999732,-64.06255555555445,104.12619000000001,4756.0,1.0,2.8071744,0.073534824,-0.4177653,49.5633,0.3645864,7.99,5.79,7.37,6.21,7.27,7.17,6.2200003,2.78,3.24,4.74,4.85,3.83,5.13,5.16,4.8,7.05,7.14,4.65,5.9,3.66,4.414,1.82,2.23,1.6540000000000001,0.61,1.23,1.44,0.41000003
10432640-6406387,IC2602,160.85999999999726,-64.11074999999889,77.372086,6596.0,534.0,3.9675712999999995,0.14566524,0.16005117,51.82865,0.36811459999999996,8.4,6.29,7.72,6.65,7.56,8.1,6.521,4.314,3.5300002,5.11,5.17,4.667,5.7,5.85,5.57,7.51,7.71,5.22,6.32,4.62,4.7139999999999995,2.1,,1.53,1.03,,1.78,
10492808-6401074,IC2602,162.36699999999726,-64.01872222222114,114.539856,4697.0,21.0,2.5611427000000004,0.05357564,0.016524665,53.71220400000001,0.36454025,8.27,6.3399997,7.64,6.5,7.59,7.41,6.42,3.07,3.43,4.98,4.96,4.15,5.57,5.57,5.49,7.46,7.49,5.08,6.34,4.26,4.494,1.97,2.5,2.0640001,0.9,1.62,1.57,0.44
10345649-6408023,IC2602,158.7353749999973,-64.13397222222116,244.01324,10846.0,750.0,4.303704,0.2,0.0,55.7319,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301225-6435258,IC2602,157.55104166666402,-64.59049999999893,99.38904000000001,4708.0,5.0,2.4383304,0.05043466,-0.09696056,80.43315,0.36479179999999994,8.14,6.1299996,7.5499997,6.42,7.52,7.34,6.31,2.91,3.27,4.86,4.95,4.04,5.43,5.39,5.19,7.29,7.34,4.93,6.12,4.03,4.634000299999999,1.8,2.25,1.8540001,0.62,1.4300001,1.37,0.39999998
10314490-6329221,IC2602,157.93708333333063,-63.48947222222114,234.92775,6544.0,0.0,3.99,0.0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10523363-6424505,IC2602,163.14012499999725,-64.4140277777767,277.51583999999997,14820.0,750.0,4.0597987,0.2,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17471834+0530062,IC4665,266.8264166666621,5.501722222222129,108.94066000000001,6181.0,65.0,3.9763718,0.16551474,-0.24438289999999996,-45.94565,0.39413023,8.04,6.37,7.06,6.27,7.27,7.22,6.27,3.904,2.99,4.63,4.53,3.8799998999999996,5.3,5.4049997,5.14,7.27,7.24,5.26,5.93,3.94,4.424000299999999,1.66,,1.84,0.89,,2.17,
17461845+0528170,IC4665,266.5768749999956,5.4713888888887965,113.70743600000002,6045.0,22.0,4.1478086,0.036673624,0.08589789,-36.504546999999995,0.36506500000000003,8.23,6.25,7.5699997,6.42,7.49,7.35,6.53,,3.52,4.99,4.9900002,4.18,5.7,5.4700003,5.49,7.53,7.54,4.96,6.3,4.24,4.644,2.08,,2.15,1.28,,1.65,0.35
17455679+0601044,IC4665,266.48662499999557,6.017888888888787,126.56031000000002,6259.0,65.0,4.1170897,0.043795664000000005,0.13113712,-35.68525,0.3660506,8.32,6.25,7.71,6.45,7.56,7.54,6.4700003,,3.5,4.98,5.09,4.4,5.61,5.9900002,5.56,7.51,7.58,4.94,6.3,4.31,4.394,2.12,,1.85,1.29,,1.73,0.5
17475250+0513595,IC4665,266.9687499999955,5.233194444444357,239.1138,6317.0,0.0,3.88,0.0,-0.03,-35.67305,4.2426405,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17471166+0541502,IC4665,266.79858333332885,5.69727777777768,104.77550500000001,5490.0,22.0,3.8298604,0.063667946,0.12124553,-33.87915,0.36490408,8.16,6.29,7.63,6.45,7.6,7.41,6.59,3.16,3.5800002,5.02,5.17,4.2,5.71,5.69,5.48,7.59,7.54,5.01,6.32,4.32,4.7139999999999995,2.11,,2.21,1.93,1.75,1.56,0.34
17451225+0514597,IC4665,266.3010416666622,5.249916666666577,114.88901000000001,6421.0,74.0,3.9988517999999997,0.056724000000000004,-0.3766757,-31.553998999999997,0.37148559999999997,7.96,5.7799997,7.31,6.12,7.08,7.24,6.19,,2.83,4.62,4.57,4.157,5.16,5.41,5.05,7.21,7.25,5.16,5.83,3.8,4.334,1.77,,2.18,0.84,,,
17444501+0525346,IC4665,266.18754166666224,5.4262777777776865,128.14733999999999,6405.0,78.0,4.053429,0.09651742,-0.17058463,-30.18265,0.36594862,8.02,6.0299997,7.27,6.2,7.33,7.27,6.33,,3.18,4.73,4.71,4.5,5.36,5.5,5.17,7.25,7.29,4.81,6.01,4.03,4.3640003,1.9,,1.9599999,0.89,,1.52,0.17
17453550+0519023,IC4665,266.3979166666621,5.317305555555467,128.02766,6317.0,0.0,3.88,0.0,-0.03,0.71355003,3.032109,8.23,6.5,7.47,6.52,7.33,7.39,6.221,4.284,3.09,5.14,5.01,4.407,5.51,5.665,5.34,7.66,7.73,5.2,6.1,3.79,4.954,2.89,,2.494,,,,
17443667+0537161,IC4665,266.15279166666215,5.621138888888793,129.38308999999998,6262.0,0.0,3.89,0.0,-0.03,1.9799,1.2971941999999999,8.52,6.64,7.51,6.64,7.56,7.59,6.421,4.6739999999999995,3.35,5.27,5.13,4.317,5.72,5.8149996,5.44,7.69,7.88,5.07,6.21,4.1,4.984,2.82,,2.8240001,,,,
17470638+0526026,IC4665,266.77658333332886,5.434055555555464,241.9089,6370.0,200.0,3.9687693,0.19776663,-0.037128117,7.64775,0.38118893,8.06,6.2,7.45,6.45,7.37,7.45,6.46,4.013999999999999,3.25,4.83,4.73,4.65,5.46,5.58,5.32,7.41,7.39,6.24,6.11,4.21,4.343999999999999,1.95,,1.78,0.97,,1.44,
17474322+0540474,IC4665,266.9300833333288,5.679833333333237,229.2852,7101.0,0.0,4.03,0.0,-0.13,19.34995,1.1305621000000001,7.78,6.29,7.31,6.6,7.28,7.27,6.101,,2.93,5.37,4.64,4.8469996,5.56,5.5249996,5.26,7.63,7.4,5.18,6.29,,4.513999999999999,2.72,,2.8240001,,,,1.05
17452906+0601462,IC4665,266.37108333332884,6.0294999999998975,106.38266000000002,6518.0,0.0,4.01,0.0,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17461964+0534066,IC4665,266.5818333333289,5.568499999999906,139.12581,6983.0,0.0,4.1,0.0,-0.02,,,,6.16,7.92,6.78,7.67,,6.8910003,,,5.49,5.05,,6.2,,,8.01,7.33,5.84,6.67,,,,,,,,,
08512291+1148493,M67,132.8454583333311,11.813694444444248,258.13495,6087.0,500.0,4.0,0.2,0.0,11.1882,0.3670452,8.2,5.78,7.59,6.25,6.95,6.67,5.311,,2.61,5.18,4.57,4.457,5.48,5.225,5.54,6.7,7.2,5.1,5.88,4.08,3.2640002,1.72,4.09,0.67399997,,2.35,1.93,0.95
08511868+1147026,M67,132.82783333333106,11.78405555555536,265.38367,5284.0,500.0,3.3045267999999997,0.45,0.0,14.4756,0.39962968,8.43,5.55,7.06,6.04,6.93,,5.631,,2.84,4.79,4.72,3.8170002,5.37,5.415,5.04,6.62,6.82,4.96,5.83,3.76,2.9940002,2.19,3.47,0.41399997,1.59,1.9299998,1.73,1.04
08512940+1154139,M67,132.8724999999977,11.90386111111091,265.43773999999996,5979.0,500.0,3.919753,0.3,0.0,47.7567,0.36646809999999996,7.98,5.7,7.3,6.0,7.11,7.15,5.921,,2.9,4.7,4.61,4.027,5.35,5.515,5.02,7.01,7.0,4.84,5.93,3.66,4.164,2.03,3.9,1.4240000000000002,,2.1,1.38,
08511799+1145541,M67,132.8249583333311,11.765027777777581,253.40868999999998,6223.0,52.0,3.962293100000001,0.08758899,-0.13429701,52.3119,0.36508098,,5.89,7.34,6.18,7.41,,6.3,,,4.74,4.71,,5.43,,,7.27,7.32,,6.04,,,2.21,,2.2800002,,,,
08511901+1150056,M67,132.82920833333105,11.83488888888869,279.31023999999996,5940.0,500.0,3.8806584,0.3,0.0,52.89825,0.36698443,8.24,5.36,6.89,6.0,6.93,,5.231,,2.54,5.03,4.5,4.4769998,5.34,5.435,5.15,6.64,6.95,5.07,5.73,3.67,3.2239999999999998,1.73,4.2,0.564,,3.05,1.98,
07372506-1202241,Melotte71,114.35441666666472,-12.040027777777574,244.15964,5141.0,56.0,3.0329453999999996,0.11100621,-0.15,32.918648,0.36412233,7.84,6.08,7.32,6.16,7.29,7.24,6.2410000000000005,2.9739999999999998,3.04,4.71,4.74,3.8370001000000014,5.39,5.395,5.1,7.27,7.29,4.61,5.95,3.87,4.394,2.04,2.4,2.204,0.93,1.71,1.49,0.23
07373561-1202542,Melotte71,114.39837499999807,-12.048388888888686,209.55597,5036.0,57.0,2.8340278,0.11186658,-0.09999989999999999,70.578255,0.36417586,7.87,6.13,7.35,6.18,7.36,7.34,6.2810000000000015,2.9139999999999997,3.08,4.68,4.79,3.7870002,5.38,5.4649997,5.08,7.27,7.32,4.6,5.97,3.88,4.454,2.05,2.36,2.234,0.95,1.73,1.5,0.26
07372476-1204326,Melotte71,114.35316666666472,-12.075722222222021,228.59569,5143.0,56.0,2.9633334,0.11116493,-0.168,84.39265,0.36428756,7.79,6.09,7.28,6.15,7.26,7.24,6.181,2.964,2.99,4.68,4.68,3.8170002,5.35,5.4049997,5.06,7.24,7.26,4.57,5.89,3.87,4.334,1.97,2.33,2.3240001,0.92,1.6199999,1.43,0.22
06272453-0454116,NGC2232,96.85220833333167,-4.903222222222139,110.69308000000001,5772.0,1.0,3.984583,0.025935406,0.06507746,-16.659248,0.3645277,8.24,6.25,7.54,6.3599997,7.56,7.44,6.52,3.11,3.65,5.0,4.9900002,4.15,5.64,5.57,5.43,7.54,7.53,4.95,6.28,4.25,4.6940002,2.11,,2.2,1.5,,1.47,0.33
06270027-0458318,NGC2232,96.75112499999835,-4.975499999999917,100.4873,5889.0,2.0,4.298968,0.045907527000000004,-0.0057318737,-13.675999999999998,0.36460970000000004,8.14,6.0899997,7.46,6.25,7.41,7.38,6.46,3.1839999999999997,3.38,4.92,4.9700003,4.04,5.61,5.7000003,5.33,7.46,7.47,4.78,6.18,4.04,4.553999999999999,2.13,,2.19,1.49,,1.59,
06300989-0437442,NGC2232,97.54120833333168,-4.6289444444443655,98.47253,5386.0,17.0,3.583884,0.055716872,-0.392302,-8.987,0.364628,7.95,5.72,7.14,6.0499997,7.08,7.0,6.11,,3.01,4.56,4.64,3.62,5.17,5.0649996,4.86,7.05,7.04,4.5,5.78,3.73,4.1940002,1.52,,1.73,1.02,,1.13,
