CNAME,GES_FLD,RA,DEC,SNR,TEFF,E_TEFF,LOGG,E_LOGG,FEH,VRAD,E_VRAD,C1,NA1,MG1,AL1,SI1,SI2,CA1,SC1,SC2,TI1,TI2,V1,CR1,CR2,MN1,FE1,FE2,CO1,NI1,CU1,ZN1,Y2,ZR1,BA2,LA2,CE2,ND2,EU2
05322067+1230389,lam_Ori,83.0861249999986,12.510805555555342,114.88967,4663.0,15.0,2.5524652000000003,0.04913927,-0.07236935,-12.0773,0.36453438,,6.08,7.44,6.3399997,,,6.36,2.92,3.3500001000000004,4.84,,4.08,5.46,5.4,,7.36,7.39,4.91,6.17,,,2.1,2.53,,1.01,1.73,,0.42000002
05361641+0959247,lam_Ori,84.0683749999986,9.990194444444274,95.59340999999999,5821.0,29.0,3.9559193,0.32419714,0.12,-4.9557,0.37086323,,,7.27,6.45,,,,,,5.0,,4.18,,,,7.55,7.66,5.08,,,,2.43,,2.3400002,1.58,,,0.63
05315306+1214234,lam_Ori,82.97108333333192,12.239833333333126,7.1357217,5771.0,0.0,4.08,0.0,-0.29,-3.99475,0.3932542,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05361735+0953435,lam_Ori,84.07229166666524,9.8954166666665,184.67943,4454.0,59.0,2.2756147,0.39201552,-0.20906235,-2.3685,0.36431733,,6.19,,6.3799996,,,6.33,3.0,3.3100002,4.98,,4.15,5.5,5.35,,7.31,7.34,4.93,6.12,,,2.06,2.64,,0.99,1.75,,0.42000002
05380573+0947131,lam_Ori,84.52387499999858,9.786972222222056,104.09784,4653.0,9.0,2.1467307,0.07484167,-0.2540049,-2.0753,0.36463594,,6.29,7.33,6.22,,,6.15,2.85,3.23,4.72,,3.8899998999999994,5.24,5.2000003,,7.16,7.23,4.81,5.99,,,1.85,2.35,,0.81,1.5100001,,0.3
05320545+1206509,lam_Ori,83.02270833333192,12.114138888888679,78.54544,5022.0,21.0,3.1821667999999996,0.044350877000000004,-0.01922362,2.08825,0.36486820000000003,,6.18,7.4,6.33,,,6.46,3.08,3.3200002,4.98,,4.12,5.58,5.4500003,,7.45,7.44,4.94,6.2,,,2.06,2.74,,0.94,1.59,,
05323475+1209530,lam_Ori,83.14479166666527,12.164722222222018,145.80434,3894.0,0.0,1.59,0.0,-0.06,21.069801000000002,0.36510816,,6.06,7.56,6.1299996,,,6.1800003,2.89,3.3500001000000004,4.77,,4.06,5.38,5.59,,7.36,7.78,5.2,6.3,,,2.25,2.07,,0.88,1.5400001,,0.41000003
05370902+0958342,lam_Ori,84.28758333333191,9.976166666666495,123.58107,3933.0,0.0,1.6,0.0,-0.14,29.707352,0.3650656,,5.96,7.48,6.06,,,6.04,2.62,3.3200002,4.7,,3.8899998999999994,5.23,5.52,,7.31,7.64,5.01,6.17,,,,1.99,,0.66,1.58,,0.26
05303989+1216354,lam_Ori,82.66620833333192,12.27649999999979,113.47691,4799.0,17.0,2.887714,0.06498314,-0.16875711,56.1847,0.36454564,,5.99,7.42,6.29,,,6.26,2.86,3.3000002,4.8,,3.9299998,5.36,5.28,,7.24,7.32,4.78,6.05,,,1.83,2.27,,0.72,1.3900001,,0.20000002
05345449+1016442,lam_Ori,83.72704166666523,10.278944444444267,136.20271,4787.0,28.0,2.6301240000000004,0.06559822,-0.016641043,58.32905,0.36439133,,6.22,7.43,6.3399997,,,6.37,2.93,3.42,4.88,,4.01,5.53,5.48,,7.42,7.46,4.89,6.22,,,2.12,2.5,,1.02,1.71,,0.44
05350412+0951556,lam_Ori,83.76716666666526,9.865444444444279,102.96221,4751.0,20.0,2.8114347,0.08962533,-0.29586378,68.17555,0.36459050000000004,,5.87,7.29,6.27,,,6.19,2.81,3.3000002,4.76,,3.86,5.23,5.26,,7.17,7.25,4.71,6.0,,,1.81,2.17,,0.61,1.3000001,,0.23000002
05360626+0939227,lam_Ori,84.02608333333194,9.656305555555393,99.95039,5035.0,17.0,3.1756349,0.04758741,-0.009351028,71.33285,0.36463726,,6.2,7.49,6.37,,,6.48,3.1,3.43,4.94,,4.15,5.62,5.41,,7.46,7.45,4.96,6.23,,,2.05,2.68,,0.96,1.62,,0.33
05312885+1146016,lam_Ori,82.87020833333193,11.767111111110909,127.79391499999998,6294.0,8.0,3.7007248,0.2244289,-0.4131311,74.9969,0.3728143,,,,,7.04,,,,2.71,,4.39,,5.03,,,7.09,7.12,,5.79,,,1.77,,1.3,,,,
05342985+1008436,lam_Ori,83.62437499999858,10.145444444444275,155.6764,5431.0,10.0,3.9134019999999996,0.08013214,-0.21809623,78.17655,0.3643057,,5.91,7.41,6.23,7.31,,6.29,2.83,3.3200002,4.75,4.88,3.82,5.38,,,7.25,7.27,4.71,6.01,,,1.87,,1.92,1.48,,,
05362064+0954055,lam_Ori,84.08599999999858,9.90152777777761,72.66508,5255.0,19.0,4.372455599999999,0.07157016,0.03964976,78.29805,0.36557367,,6.17,7.59,6.5,7.51,,6.5,3.12,3.5300002,5.03,5.06,4.15,5.68,5.8,,7.53,7.56,5.0,6.31,,,2.33,,2.01,2.18,,,
05350642+1020139,lam_Ori,83.77674999999856,10.337194444444268,128.2784,4685.0,10.0,2.5951123,0.07079505,0.06684514,82.2734,0.3644737,,6.31,7.5499997,6.5299997,,,6.4300003,3.06,3.48,4.98,,4.21,5.6,5.52,,7.48,7.52,5.1,6.33,,,2.03,2.51,,0.92,1.6500001,,0.45999998
05351975+0947476,lam_Ori,83.83229166666527,9.796555555555393,140.56053,5725.0,0.0,4.36,0.0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
