CNAME,GES_FLD,RA,DEC,SNR,TEFF,E_TEFF,LOGG,E_LOGG,FEH,VRAD,E_VRAD,NA1,MG1,SI1,CA1,SC2,TI1,TI2,V1,CR1,FE1,FE2,CO1,NI1,Y2,BA2
08064772-4659492,gamma2_Vel,121.6988333333313,-46.99699999999921,105.8574,5758.0,21.0,4.1462665,0.063761346,0.02669224,11.6441,0.36458272,6.0699997,7.58,7.48,6.4700003,3.47,4.91,5.03,4.03,5.6,7.48,7.48,4.84,6.19,2.01,2.2
08073209-4746433,gamma2_Vel,121.88370833333128,-47.77869444444364,165.32971,6001.0,18.0,4.1834354,0.006688866999999999,0.06099216,12.726199000000001,0.36427397,6.15,7.52,7.45,6.4900002,3.43,4.91,4.9500003,4.1,5.65,7.52,7.52,4.85,6.26,2.11,2.19
08071363-4725156,gamma2_Vel,121.80679166666462,-47.42099999999919,134.57751000000002,5789.0,2.0,4.3504257000000015,0.042902865,-0.007826863,13.70095,0.36440447,6.0299997,7.47,7.42,6.4300003,3.3400002,4.85,4.77,4.01,5.57,7.44,7.47,4.68,6.12,2.17,2.2
08091875-4708534,gamma2_Vel,122.32812499999793,-47.14816666666586,201.36629,6075.0,0.0,3.94,0.0,-0.04,13.77585,0.7235918,6.54,7.48,7.42,6.3910003,2.84,4.85,4.72,4.107,5.64,7.52,7.46,4.75,6.02,2.14,2.244
08073447-4716569,gamma2_Vel,121.89362499999794,-47.28247222222143,186.18222,5975.0,51.0,4.2611237,0.045957424000000004,0.14389184,15.3405,0.3644505,6.23,7.64,7.57,6.6,3.5300002,5.07,5.02,4.2599998,5.72,7.61,7.65,4.9,6.33,2.25,2.25
08083990-4741513,gamma2_Vel,122.1662499999979,-47.69758333333253,112.644516,5690.0,7.0,4.171175,0.07780558,-0.41789790000000004,16.4188,0.36464655,5.8199997,7.259999799999999,7.16,6.14,2.94,4.64,4.52,3.86,5.29,7.07,7.08,4.49,5.83,1.48,1.61
08110285-4724405,gamma2_Vel,122.76187499999794,-47.4112499999992,183.8037,5237.0,0.0,4.48,0.0,-0.04,17.52,0.48010119999999995,6.31,7.77,7.53,6.811,3.26,5.37,4.99,4.5369997,5.84,7.73,7.47,4.85,6.28,2.87,2.674
08105813-4729136,gamma2_Vel,122.74220833333128,-47.487111111110295,288.85205,7597.0,0.0,4.05,0.0,-0.18,17.6561,3.0,,,,,,,,,,,,,,,
08092627-4731001,gamma2_Vel,122.35945833333128,-47.51669444444364,178.79051,5216.0,0.0,4.51,0.0,-0.04,17.946602,0.5054605,5.9,7.38,7.52,6.511,3.16,4.96,4.95,4.187,5.59,7.62,8.09,4.65,6.16,2.74,2.424
08095427-4721419,gamma2_Vel,122.47612499999796,-47.3616388888881,182.29745,5818.0,50.0,4.375028599999999,0.0070709319999999985,0.090000026,20.8801,0.3787548,6.14,7.2999997,7.45,6.54,3.47,5.07,4.88,4.22,5.68,7.54,7.59,4.83,6.21,2.52,2.38
08074016-4721020,gamma2_Vel,121.91733333333129,-47.35055555555476,204.78401000000002,7014.0,0.0,4.11,0.0,-0.03,21.3191,3.0,,,,,,,,,,,,,,,
08065688-4717247,gamma2_Vel,121.73699999999796,-47.290194444443635,277.08032000000003,7605.0,0.0,4.09,0.0,0.01,21.621,0.32873252,5.82,6.88,7.24,5.731,2.67,5.31,4.63,5.0369997,5.68,,,5.42,6.21,2.49,1.8840001
08085306-4704067,gamma2_Vel,122.22108333333124,-47.06852777777698,171.86905,6036.0,8.0,4.3251414000000015,0.037993908,0.08849177,22.9377,0.36428794,6.18,7.52,7.48,6.53,3.41,4.92,4.92,4.15,5.67,7.57,7.53,4.87,6.3,2.15,2.2800002
08080431-4716272,gamma2_Vel,122.01795833333128,-47.27422222222143,89.624084,5246.0,3.0,4.483168599999999,0.047702048,-0.06994981,23.0103,0.36562324,5.96,7.43,7.35,6.37,3.3200002,4.88,4.79,4.04,5.55,7.36,7.43,4.78,6.08,2.16,1.9399998999999999
08094390-4703094,gamma2_Vel,122.43291666666458,-47.05261111111032,91.26505999999999,7035.0,0.0,4.14,0.0,-0.17,24.2684,3.0,,,,,,,,,,,,,,,
08112188-4711281,gamma2_Vel,122.8411666666646,-47.19113888888809,173.01852,7238.0,0.0,4.02,0.0,-0.14,24.2792,0.32132903,,,,,,,,,,,,,,,
08071501-4658153,gamma2_Vel,121.8125416666646,-46.97091666666587,113.191696,6350.0,0.0,3.96,0.0,0.02,24.6419,0.56332034,5.82,7.4,7.42,5.981,3.13,5.08,4.81,4.5969996,5.33,,,5.13,6.4,1.3,0.97400004
08090850-4701407,gamma2_Vel,122.2854166666646,-47.02797222222144,212.13661000000002,6646.0,0.0,4.1,0.0,-0.07,24.701101,3.026549,,,,,,,,,,,,,,,
08081445-4701498,gamma2_Vel,122.06020833333126,-47.0304999999992,64.33685,5862.0,53.0,3.9320996,0.13065971,-0.14112666,25.65805,0.36516940000000003,5.94,7.34,7.3,6.33,3.3300002,4.84,4.9,3.8899998999999994,5.48,7.29,7.37,4.77,6.07,1.87,2.17
08094301-4718353,gamma2_Vel,122.42920833333126,-47.30980555555475,280.66052,7526.0,0.0,4.12,0.0,-0.08,27.9847,3.0,,,,,,,,,,,,,,,
08094221-4719527,gamma2_Vel,122.42587499999796,-47.33130555555476,211.332,5143.0,0.0,4.5,0.0,-0.03,34.92,0.24002568,,,,,,,,,,7.9354,,,6.871107,,
05373577+0957527,lam_Ori,84.39904166666523,9.96463888888872,245.51715,6553.0,0.0,4.0,0.0,-0.04,4.67945,4.2426405,,,,,,,,,,,,,,,
05300189+1213100,lam_Ori,82.50787499999859,12.219444444444234,80.92781,4838.0,0.0,4.42,0.0,0.01,11.4032,0.75739235,,,,,,,,,,,,,,,
05371184+0936551,lam_Ori,84.29933333333189,9.615305555555397,130.6561,5318.0,26.0,4.472918,0.05581747,-0.06808195,11.40765,0.3652462,6.0,7.46,7.4,6.39,3.26,4.88,4.83,3.99,5.54,7.39,7.43,4.77,6.07,2.14,2.19
05345879+1020394,lam_Ori,83.74495833333192,10.344277777777599,88.68503,5235.0,94.0,3.9446242,0.34892306,-0.007812577,14.6589,0.36734486,,,,,,,,,,,,,,,
05295491+1201238,lam_Ori,82.4787916666653,12.023277777777574,62.096775,6827.0,0.0,4.08,0.0,-0.01,17.2798,3.0,,,,,,,,,,,,,,,
05335042+1004212,lam_Ori,83.46008333333192,10.072555555555383,205.12546,6781.0,0.0,4.12,0.0,-0.06,23.6252,0.4376041,,,,,,,,,,,,,,,
05314340+1230221,lam_Ori,82.93083333333196,12.506138888888678,119.50211999999999,4848.0,0.0,4.5,0.0,-0.1,24.784302,0.41414407,,,,,,,,,,,,,,,
05365208+0934023,lam_Ori,84.21699999999858,9.567305555555397,101.960526,4567.0,0.0,4.5,0.0,-0.07,26.26715,4.2426405,,,,,,,,,,,,,,,
05312146+1205440,lam_Ori,82.83941666666527,12.09555555555535,46.148262,4094.0,0.0,4.6,0.0,-0.17,26.35330200000001,0.4523769,,,,,,,,,,,,,,,
05370084+0949045,lam_Ori,84.25349999999855,9.8179166666665,87.9523,5245.0,0.0,4.51,0.0,-0.05,27.163052,0.54413134,,,,,,,,,,,,,,,
05334666+1001092,lam_Ori,83.44441666666528,10.019222222222053,139.04771000000002,5941.0,20.0,3.9279243999999998,0.028759253999999998,0.19166376,28.96315,0.3643681,6.42,7.67,7.68,6.67,3.63,5.06,5.1,4.31,5.82,7.68,7.69,5.12,6.46,2.21,2.25
05361858+0945089,lam_Ori,84.07741666666523,9.752472222222057,93.31251,5106.0,169.0,4.2828620000000015,0.44613559999999997,-0.1685874,29.341251,0.376288,,,,,3.18,,,,,7.31,7.39,4.73,,2.0,
05352469+1011453,lam_Ori,83.8528749999986,10.195916666666497,145.39368000000005,6302.0,122.0,4.3445206,0.10289569,-0.090492636,29.608751,0.36651722,,,,,,,,,,,,,,,
05350834+0942538,lam_Ori,83.78474999999855,9.71494444444428,193.30782,5248.0,0.0,4.52,0.0,-0.06,29.701702,0.57002515,,,,,,,,,,,,,,,
05350816+0955344,lam_Ori,83.7839999999986,9.926222222222053,205.48838999999998,6082.0,0.0,4.13,0.0,0.02,30.384602,3.1649287,,,,,,,,,,,,,,,
05345818+0956267,lam_Ori,83.74241666666526,9.940749999999829,257.66925,7105.0,0.0,4.11,0.0,-0.25,33.2577,0.32111007,,,,,,,,,,,,,,,
05344822+0949409,lam_Ori,83.70091666666525,9.82802777777761,150.6439,6501.0,0.0,4.0,0.0,-0.09,33.68435,0.5860376,,,,,,,,,,,,,,,
05335115+0946421,lam_Ori,83.4631249999986,9.778361111110947,273.07538,6454.0,0.0,3.91,0.0,-0.01,37.6111,0.44346514,,,,,,,,,,,,,,,
05372199+1000085,lam_Ori,84.34162499999856,10.002361111110943,64.74653,5789.0,11.0,4.1749160000000005,0.06100980000000001,0.11911947,37.8425,0.3651893,6.12,7.59,7.5,6.52,3.5800002,5.11,5.12,4.14,5.81,7.57,7.66,5.02,6.37,2.19,2.18
05344716+0948132,lam_Ori,83.6964999999986,9.803666666666501,158.16299999999995,6218.0,42.0,3.9940212,0.077068545,-0.1882053,40.45505,0.36522338,6.0,7.33,7.3,6.31,3.2,4.79,4.73,4.46,5.33,7.26,7.27,4.83,6.02,1.8,1.86
05313056+1203235,lam_Ori,82.87733333333192,12.056527777777575,153.44179,5131.0,12.0,4.444898,0.034099753999999996,-0.16529788,45.49880200000001,0.36505342,5.93,7.36,7.29,6.32,3.15,4.8,4.7400002,3.9499998,5.4,7.3,7.3,4.66,6.0,2.03,
