CNAME,GES_FLD,RA,DEC,SNR,TEFF,E_TEFF,LOGG,E_LOGG,FEH,VRAD,E_VRAD,NA1,MG1,SI1,CA1,SC2,TI1,TI2,V1,CR1,FE1,FE2,CO1,NI1,Y2,BA2
18272787+0620520,NGC6633,276.8661249999953,6.347777777777671,192.02893,6404.0,64.0,4.089830399999999,0.113811806,0.182809,-30.505299,0.37101126,6.48,7.72,7.54,6.681,3.38,5.16,5.12,4.317,5.92,7.76,7.8,5.14,6.39,2.46,2.504
18280330+0639516,NGC6633,277.01374999999524,6.664333333333219,180.80608,6302.0,57.0,4.096518,0.1116201,-0.158,-29.881747999999998,0.36430138,5.92,7.31,7.24,6.301,2.9,4.64,4.67,3.917,5.37,7.23,7.25,4.62,5.89,1.94,2.214
18263404+0637467,NGC6633,276.6418333333287,6.629638888888778,114.35476000000001,5658.0,57.0,4.3246927,0.11437811,-0.08900000000000001,-29.0448,0.36532277,6.01,7.38,7.34,6.431,2.98,4.78,4.8,3.957,5.51,7.3,7.36,4.62,5.99,2.13,2.2940001
18275112+0622485,NGC6633,276.9629999999953,6.380138888888781,162.26785,5751.0,130.0,4.391182,0.32276165,-0.154127,-28.49755,0.42195415,5.57,7.22,7.09,5.9110002999999995,2.81,4.44,4.48,4.007,5.12,6.66,6.81,4.81,5.78,1.78,1.2240001
18274725+0640462,NGC6633,276.9468749999953,6.679499999999888,98.98592,5267.0,57.0,4.5615745,0.11300865,-0.06,-28.374249,0.365607,6.03,7.44,7.42,6.401,3.11,4.92,4.94,4.087,5.62,7.36,7.4,4.78,6.12,2.22,2.194
18263966+0629501,NGC6633,276.6652499999953,6.497249999999889,145.09172,5572.0,57.0,4.4492769999999995,0.11165438,-0.05,-27.82815,0.36504212,6.06,7.44,7.36,6.521,3.1,4.92,4.84,4.127,5.6,7.37,7.39,4.72,6.09,2.25,2.2940001
18270752+0627556,NGC6633,276.7813749999953,6.465444444444334,121.49441499999999,5701.0,57.0,4.455787,0.11333783,-0.035,-27.609347999999997,0.36508042,6.01,7.44,7.38,6.431,3.08,4.81,4.86,3.967,5.59,7.36,7.42,4.72,6.07,2.19,2.3040001
18283246+0644404,NGC6633,277.13524999999527,6.744555555555443,215.97693999999998,5921.0,58.0,4.409893,0.11166307,0.026000000000000002,-27.327647999999996,0.36518145,6.06,7.48,7.42,6.481,3.14,4.87,4.89,3.9870002,5.61,7.44,7.47,4.76,6.08,2.25,2.424
18274267+0639082,NGC6633,276.92779166666196,6.6522777777776625,121.88118999999999,6063.0,58.0,3.8609807000000003,0.11239962,0.08,-27.176498,0.36654314,6.24,7.53,7.47,6.421,3.28,4.86,4.93,4.007,5.61,7.44,7.54,4.92,6.15,2.2,2.084
18280866+0638090,NGC6633,277.0360833333287,6.635833333333221,111.43235,5115.0,57.0,4.624411599999998,0.113859616,-0.08,-27.06435,0.36584356,5.95,7.41,7.44,6.331,3.14,4.81,4.93,3.967,5.52,7.33,7.43,4.75,6.11,2.16,2.204
18275733+0646499,NGC6633,276.9888749999953,6.780527777777664,193.99754,6086.0,57.0,4.2083335,0.11165510000000002,0.07,-21.919998,0.3646939,6.24,7.55,7.5,6.4910000000000005,3.28,4.89,4.96,4.037,5.62,7.47,7.52,4.9,6.22,2.2,2.204
18264594+0636077,NGC6633,276.691416666662,6.602138888888778,92.39601,5927.0,65.0,3.9643602,0.12346807,0.34,-17.27995,0.36132437,6.61,7.76,7.83,6.751,3.65,5.18,5.21,4.357,5.89,7.75,7.79,5.15,6.49,2.4,2.234
18263318+0621466,NGC6633,276.6382499999953,6.362944444444334,138.5577,6045.0,57.0,4.2484264000000005,0.11356822400000001,-0.19,-14.7872,0.36546427,5.98,7.35,7.21,6.2010000000000005,3.05,4.7,4.75,3.877,5.39,7.24,7.27,4.68,5.91,1.88,1.964
18281038+0647407,NGC6633,277.0432499999953,6.794638888888772,188.40736,5258.0,500.0,4.5,0.2,0.0,-14.51555,0.36763722,5.69,7.05,7.3,6.041,3.68,5.05,5.28,4.207,5.59,7.0,7.33,5.03,6.28,2.06,
18264786+0614598,NGC6633,276.699416666662,6.249944444444339,72.95968,7132.996,750.0,4.175873,0.2,-0.25,-14.34725,0.38529193,6.26,7.56,7.4,6.331,3.23,4.92,4.79,4.4969997,5.38,7.3,7.29,5.16,6.04,2.23,2.0240002
18280063+0623517,NGC6633,277.00262499999536,6.397694444444336,164.81638,6269.0,68.0,3.7360299,0.13431758,0.1,-9.64895,0.46280837,6.21,7.62,7.54,6.3610000000000015,3.19,4.97,4.85,4.457,5.65,7.48,7.43,5.03,6.2,2.21,1.544
