CNAME,GES_FLD,RA,DEC,SNR,TEFF,E_TEFF,LOGG,E_LOGG,FEH,VRAD,E_VRAD,NA1,MG1,AL1,CA1,SC1,SC2,TI1,V1,CR1,CR2,FE1,FE2,CO1,NI1,Y2
15554101-5727497,NGC6005,238.920874999996,-57.46380555555457,88.45926999999998,4725.0,57.0,2.8932812,0.11260616,0.06,-12.14135,0.36476386,6.22,7.53,6.4,6.4110002999999995,3.1239999999999997,3.33,4.85,4.0969999999999995,5.58,5.645,7.46,7.53,4.95,6.32,2.23
16133568-5407365,NGC6067,243.39866666666248,-54.12680555555464,220.45401,4477.0,57.0,2.2044935000000003,0.11148068,0.264126,-40.3695,0.36491534,6.76,7.73,6.8,6.851,3.554,3.65,5.35,4.627,5.9,5.785,7.58,7.51,5.37,6.55,2.6
16124736-5411005,NGC6067,243.1973333333292,-54.1834722222213,376.5945,4908.0,57.0,2.227141,0.110833086,0.28,-39.636948,0.36516088,6.79,7.68,6.62,6.561,3.4139999999999997,3.53,5.17,4.417,5.8,5.6549997,7.6,7.52,5.15,6.38,2.36
16132107-5409550,NGC6067,243.3377916666626,-54.16527777777687,415.98843,4596.0,64.0,1.9120082999999999,0.11262065,0.02,-39.465346999999994,0.36583418,6.63,7.47,6.39,6.381,3.1239999999999997,3.37,4.87,4.117,5.56,6.645,7.5,7.53,4.91,6.22,2.16
16134400-5416542,NGC6067,243.4333333333292,-54.28172222222129,309.1744700000001,4941.0,56.0,2.1834740000000004,0.11135137,0.17,-39.011246,0.36486983,6.7,7.61,6.54,6.561,3.404,3.45,5.04,4.257,5.73,5.615,7.57,7.56,5.07,6.35,2.31
16121539-5419192,NGC6067,243.06412499999598,-54.32199999999907,211.98092999999997,4599.0,56.0,2.0900795,0.112940684,0.21,-38.9605,0.36505958,6.7,7.56,6.52,6.4510000000000005,3.2739999999999996,3.45,5.0,4.2269998,5.7,5.7149997,7.5,7.52,5.1,6.37,2.4
16135905-5416254,NGC6067,243.49604166666248,-54.273722222221316,148.70352,4466.0,58.0,2.0845392,0.11289692,0.197123,-38.74585,0.36493862,6.64,7.69,6.63,6.771,3.4139999999999997,3.56,5.2,4.457,5.82,5.785,7.57,7.47,5.26,6.55,2.5
16131456-5411208,NGC6067,243.31066666666248,-54.18911111111021,214.96344,4689.0,57.0,2.0614657,0.1119653,0.22,-38.72445,0.3647425,6.67,7.63,6.63,6.5310000000000015,3.3439998999999996,3.42,5.05,4.277,5.76,5.665,7.53,7.52,5.12,6.41,2.34
16122377-5425071,NGC6067,243.0990416666625,-54.41863888888796,141.71844,4755.0,64.0,2.0047822,0.11515265,0.36493000000000003,-38.494698,0.36728343,6.67,7.55,6.45,6.3910003,3.194,3.45,4.92,4.127,5.64,6.2749996,7.46,7.58,5.03,6.28,2.29
16135998-5402558,NGC6067,243.49991666666256,-54.04883333333243,222.41566,4583.0,58.0,2.1862247000000004,0.112637445,0.164128,-38.45395,0.36485857,6.79,7.65,6.68,6.631,3.384,3.49,5.16,4.437,5.78,5.7549996,7.56,7.51,5.2,6.45,2.42
16132359-5413426,NGC6067,243.34829166666253,-54.22849999999907,230.69206,4352.0,57.0,2.0202298,0.11270732,0.11647,-38.2856,0.36463296,6.57,7.7,6.64,6.691,3.2939999999999996,3.43,5.04,4.3069997,5.71,5.765,7.49,7.49,5.22,6.49,2.4
16132470-5420055,NGC6067,243.3529166666626,-54.33486111111019,165.61606,4521.0,57.0,2.0187554,0.11195587,0.144232,-37.6129,0.36472118,6.78,7.67,6.59,6.651,3.324,3.43,5.09,4.377,5.77,5.615,7.53,7.47,5.15,6.45,2.38
16123981-5417411,NGC6067,243.16587499999585,-54.29474999999908,206.49826000000002,4433.0,57.0,1.9829776999999997,0.11149824,0.08000039999999999,-34.274498,0.36471215,6.65,7.63,6.57,6.6110000000000015,3.2539999999999996,3.38,5.04,4.297,5.7,5.6949997,7.48,7.41,5.12,6.42,2.34
16592249-5239092,NGC6253,254.8433749999957,-52.652388888888,173.67584,4483.0,57.0,2.5288772999999996,0.11280835,0.2,-28.98,0.36436793,6.71,7.8,6.73,6.6210002999999995,3.264,3.46,4.98,4.257,5.75,5.875,7.61,7.7,5.33,6.66,2.23
16584156-5243311,NGC6253,254.6731666666624,-52.725305555554655,104.21361999999999,4459.0,58.0,2.5655474999999996,0.113579236,0.24,-28.749298,0.36498892,6.7,7.82,6.77,6.681,3.364,3.51,5.04,4.337,5.78,5.855,7.62,7.68,5.38,6.7,2.3
16583745-5242481,NGC6253,254.65604166666242,-52.71336111111022,120.15786999999999,4580.0,57.0,2.6822147000000003,0.1129171,0.27,-28.730549,0.36457297,6.6,7.79,6.74,6.631,3.3739999999999997,3.55,5.08,4.407,5.8,5.8349996,7.65,7.72,5.37,6.65,2.28
16593786-5238252,NGC6253,254.9077499999956,-52.64033333333245,151.7892,4525.0,57.0,2.8300302000000004,0.11194871,0.141631,-28.675499,0.36467794,6.57,7.78,6.72,6.5710000000000015,3.384,3.47,5.0,4.3469996,5.75,5.8349996,7.54,7.66,5.29,6.57,2.29
16584993-5242583,NGC6253,254.70799999999574,-52.71627777777688,157.07455,4585.0,57.0,2.901716,0.11339162,0.28,-28.522347999999997,0.3646509,6.66,7.8,6.77,6.6410003,3.4139999999999997,3.57,5.08,4.417,5.8,5.9049997,7.64,7.76,5.37,6.68,2.35
16591660-5242423,NGC6253,254.8191666666624,-52.711749999999114,94.29238000000001,4431.0,58.0,2.6416232999999996,0.11337744400000001,0.164824,-28.3606,0.36509590000000003,6.54,7.79,6.75,6.581,3.3539999999999996,3.46,4.97,4.277,5.71,5.845,7.53,7.62,5.31,6.58,2.25
16593278-5244054,NGC6253,254.886583333329,-52.73483333333245,112.612274,4535.0,57.0,2.6514537000000002,0.11327733,0.22,-27.6593,0.36463672,6.69,7.82,6.75,6.601,3.3539999999999996,3.5,5.05,4.367,5.79,5.9049997,7.61,7.69,5.35,6.63,2.28
16585331-5241536,NGC6253,254.72212499999569,-52.698222222221325,183.33495,4456.0,57.0,2.4695622999999998,0.11188544,0.22,-27.218097999999998,0.36435700000000004,6.71,7.81,6.73,6.6610002999999995,3.234,3.46,5.01,4.2869997,5.78,5.875,7.62,7.7,5.34,6.69,2.22
16585587-5242213,NGC6253,254.7327916666624,-52.70591666666577,185.46138,4260.0,57.0,2.2788265,0.11247265,0.0816017,-27.137249,0.36463848,6.49,7.77,6.73,6.671,3.2739999999999996,3.42,4.91,4.2269998,5.7,5.8149996,7.46,7.57,5.27,6.57,2.25
16591343-5236470,NGC6253,254.80595833332904,-52.61305555555466,181.02988,4480.0,58.0,2.5370817000000003,0.11299871,0.144005,-26.93615,0.36435363,6.67,7.74,6.72,6.591,3.284,3.42,4.97,4.257,5.72,5.8149996,7.57,7.66,5.31,6.62,2.24
16584261-5236451,NGC6253,254.67754166666242,-52.61252777777688,187.59735,4468.0,57.0,2.5031075,0.11171586,0.20535100000000006,-26.7086,0.36458635,6.73,7.77,6.79,6.711,3.3439998999999996,3.47,5.07,4.367,5.81,5.8349996,7.62,7.66,5.41,6.72,2.29
16585315-5243110,NGC6253,254.72137499999573,-52.71983333333245,147.59117,4537.0,57.0,2.6755812000000003,0.113078855,0.15,-21.2181,0.3646736,6.39,7.69,6.6,6.581,3.284,3.46,4.98,4.2869997,5.7,5.7149997,7.56,7.63,5.18,6.53,2.35
16591920-5243136,NGC6253,254.82995833332907,-52.720444444443544,109.32488000000001,4735.0,57.0,2.935709,0.1139251,0.3,-20.141448999999998,0.36462688,6.55,7.77,6.66,6.581,3.364,3.6,5.05,4.377,5.82,5.875,7.68,7.8,5.28,6.61,2.39
17002992-4441428,NGC6259,255.12466666666242,-44.69522222222146,142.19163999999995,4813.0,57.0,2.5332932,0.11304771,0.2,-34.973,0.36503664,6.86,7.78,6.75,6.591,3.534,3.48,5.29,4.567,5.91,5.7749996,7.66,7.56,5.28,6.5,2.39
17003606-4437251,NGC6259,255.15024999999568,-44.62363888888813,123.2095,4714.0,57.0,2.3310838,0.11298385,0.142701,-34.81215,0.36500309999999997,6.81,7.77,6.69,6.601,3.4339999999999997,3.44,5.16,4.407,5.85,5.745,7.62,7.54,5.22,6.49,2.3
17004644-4440415,NGC6259,255.19349999999568,-44.67819444444368,145.42803999999995,4711.0,57.0,2.3889650000000002,0.11177362,0.142901,-34.070198,0.3651224,6.79,7.76,6.71,6.551,3.464,3.42,5.19,4.467,5.83,5.7949996,7.61,7.44,5.21,6.43,2.33
17005145-4441297,NGC6259,255.2144166666624,-44.691583333332574,120.13363000000001,4875.0,58.0,2.6391558999999996,0.11392731,0.231398,-33.995598,0.36527067,6.69,7.69,6.64,6.501,3.464,3.49,5.11,4.377,5.78,5.725,7.6,7.59,5.17,6.42,2.33
17005389-4443372,NGC6259,255.22454166666242,-44.726999999999244,108.34881999999999,4734.0,58.0,2.3504753,0.11350919,0.21,-33.44090300000001,0.36477807,6.8,7.73,6.64,6.6210002999999995,3.3739999999999997,3.47,5.08,4.3269997,5.81,5.7349997,7.63,7.59,5.18,6.53,2.3
17005833-4440542,NGC6259,255.24299999999573,-44.68172222222147,132.98236,4962.0,57.0,2.8556209999999997,0.112995505,0.21,-33.083847,0.36507773,6.71,7.74,6.7,6.6110000000000015,3.5239999999999996,3.52,5.27,4.587,5.89,5.705,7.67,7.58,5.28,6.48,2.38
17003856-4441332,NGC6259,255.1606666666624,-44.6925555555548,112.58188999999999,4547.0,57.0,2.3614137000000004,0.11413983,0.25,-32.99395,0.36465317,6.67,7.69,6.57,6.561,3.234,3.53,4.95,4.197,5.72,5.855,7.61,7.71,5.2,6.59,2.32
17002424-4441472,NGC6259,255.10099999999557,-44.696444444443685,115.99791,4780.0,58.0,2.631234,0.11426543,0.24,-32.6997,0.36508542,6.6,7.63,6.57,6.501,3.3439998999999996,3.51,5.03,4.2869997,5.75,5.805,7.58,7.65,5.16,6.43,2.34
17004667-4438225,NGC6259,255.1944583333291,-44.639583333332574,143.59888,4720.0,57.0,2.388515,0.112853274,0.24,-32.69735,0.36544093,6.74,7.68,6.6,6.4510000000000005,3.3439998999999996,3.42,5.06,4.2869997,5.76,5.9049997,7.55,7.61,5.13,6.39,2.26
17002825-4438536,NGC6259,255.11766666666242,-44.648194444443696,129.93445,4688.0,57.0,2.4144287,0.11227140599999999,0.19,-32.1251,0.364644,6.64,7.75,6.67,6.601,3.404,3.46,5.07,4.337,5.79,5.745,7.61,7.62,5.2,6.5,2.32
18044800-2433068,NGC6530,271.19999999999544,-24.55188888888847,47.592445,7259.0,750.0,3.16,0.7,-0.55,-29.727701,3.0,,,,,,,,,,,,,,,
18041573-2414554,NGC6530,271.0655416666621,-24.248722222221808,109.28901,8550.0,750.0,3.1,0.7,0.0,-10.1456,0.32409940000000004,,,,,,,,,,,,,,,
18043129-2432205,NGC6530,271.13037499999547,-24.539027777777363,32.147083,8827.0,750.0,3.2551441000000003,0.45,0.0,-0.36039996,0.31417090000000003,,,,,,,,,,,,,,,
18045273-2417525,NGC6530,271.21970833332875,-24.29791666666625,,8751.0,750.0,3.1681554,0.7,-0.45,0.7376531999999999,6.462599,,,,,,,,,,,,,,,
18043893-2424142,NGC6530,271.16220833332875,-24.40394444444404,350.29537999999997,5060.0,10.0,2.5533773999999996,0.024490096,0.036845136,17.45955,0.3656038,6.54,7.5299997,6.43,6.48,3.14,3.3100002,4.98,4.13,5.61,,7.45,7.53,4.9,6.16,2.08
18282297+0642293,NGC6633,277.09570833332873,6.708138888888778,312.13354,5042.0,57.0,2.8275845,0.11035271,0.0700002,-29.68055,0.36421573,6.27,7.45,6.27,6.381,3.0239999999999996,3.23,4.75,3.867,5.49,5.665,7.37,7.48,4.71,6.08,2.19
18275473+0636003,NGC6633,276.97808333332864,6.600083333333223,297.99917999999997,4925.0,57.0,2.6161689999999997,0.11115418,0.0717841,-29.21265,0.36412683,6.3,7.48,6.28,6.401,3.034,3.25,4.76,3.887,5.5,5.555,7.38,7.47,4.75,6.12,2.2
18280018+0654514,NGC6633,277.0007499999953,6.914277777777662,316.73666000000014,5017.0,57.0,2.787363,0.11120526,0.0947383,-28.751697999999998,0.36431307,6.3,7.52,6.33,6.431,3.0939999,3.27,4.82,3.947,5.55,5.555,7.42,7.52,4.77,6.12,2.21
18274532+0643157,NGC6633,276.9388333333287,6.721027777777662,265.2399,8298.995,750.0,3.0979900000000002,0.7,0.2,-15.13475,3.0055652000000004,,,,,,,,,,,,,,,
18280903+0650251,NGC6633,277.03762499999533,6.8403055555554415,58.781654,8731.0,750.0,3.3479364,0.45,-0.1,-0.94749993,0.31275663,,7.35,,,,3.12,,,,,,,,,
18282047+0635248,NGC6633,277.085291666662,6.5902222222221125,153.24483,4602.0,59.0,2.6991258,0.11779795,0.02,15.054601000000002,0.36052004,6.06,7.42,,6.301,3.0239999999999996,3.32,4.73,3.947,5.47,5.595,7.36,7.53,4.95,6.27,2.14
18263376+0631350,NGC6633,276.6406666666621,6.5263888888887776,290.0013,4969.0,57.0,2.6578397999999996,0.1100238,-0.0418755,17.04145,0.3641,6.22,7.4,6.23,6.351,2.9739999999999998,3.17,4.71,3.8070002,5.43,5.555,7.31,7.38,4.67,6.04,2.11
18505755-0613461,NGC6705,282.7397916666618,-6.2294722222221175,273.72382000000005,4790.0,57.0,2.4653597,0.11206671,-0.03,31.40395,0.36617374,6.37,7.42,6.45,6.181,3.114,3.12,4.75,3.957,5.45,5.4849997,7.27,7.4,4.8,6.02,2.1
18510662-0612442,NGC6705,282.7775833333285,-6.212277777777673,199.5132,4865.0,57.0,2.4868493,0.11104168,0.17,32.8744,0.36480525,6.55,7.6,6.69,6.501,3.384,3.37,5.08,4.3469996,5.74,5.5049996,7.53,7.46,5.12,6.34,2.25
18510200-0617265,NGC6705,282.7583333333285,-6.2906944444443385,164.12788,4574.0,57.0,2.4033808999999997,0.112590894,0.187625,32.903202,0.36462307,6.43,7.7,6.71,6.671,3.3539999999999996,3.47,5.16,4.5169997,5.79,5.665,7.55,7.46,5.26,6.51,2.42
18514034-0617128,NGC6705,282.9180833333285,-6.286888888888782,214.18242,4872.0,57.0,2.5673367999999996,0.111742355,0.18,32.95655,0.36480588,6.6,7.6,6.7,6.501,3.4339999999999997,3.42,5.13,4.417,5.75,5.625,7.53,7.45,5.16,6.36,2.32
18511116-0614340,NGC6705,282.7964999999952,-6.242777777777673,156.85048,4533.0,64.0,2.394604,0.1138712,0.25,33.078453,0.36508372,6.59,7.77,6.77,6.7010000000000005,3.364,3.53,5.16,4.5169997,5.82,5.745,7.57,7.49,5.28,6.57,2.47
18510399-0620414,NGC6705,282.7666249999952,-6.344833333333228,180.54861,4868.0,64.0,2.604064,0.11416861,0.24,33.6553,0.36474067,6.73,7.73,6.75,6.651,3.384,3.48,5.2,4.4769998,5.83,5.685,7.65,7.57,5.22,6.51,2.38
18510289-0615301,NGC6705,282.762041666662,-6.258361111111005,206.83755,4666.0,57.0,2.2494037000000002,0.11083058,0.08000039999999999,33.94645,0.36478302,6.53,7.53,6.51,6.3710002999999995,3.134,3.24,4.82,4.037,5.58,5.605,7.39,7.45,4.91,6.19,2.08
18514130-0620125,NGC6705,282.9220833333285,-6.33680555555545,160.48921,4748.0,56.0,2.442359,0.112456255,0.17,34.0803,0.36450988,6.57,7.61,6.61,6.521,3.2439999999999998,3.41,5.0,4.237,5.74,5.6749997,7.54,7.52,5.12,6.44,2.32
18502831-0615122,NGC6705,282.6179583333285,-6.253388888888782,146.65251,4594.0,57.0,2.0457802,0.11309715,0.21,34.135253999999996,0.36472732,6.58,7.65,6.65,6.5310000000000015,3.174,3.42,4.95,4.197,5.7,5.6349998,7.51,7.47,5.09,6.47,2.27
18511048-0615470,NGC6705,282.7936666666618,-6.26305555555545,214.08276,4713.0,57.0,2.0867276,0.11192391,0.07516310000000001,34.24855,0.36501294,6.57,7.55,6.57,6.301,3.194,3.23,4.84,4.0569999999999995,5.58,5.5849996,7.41,7.38,4.93,6.19,2.07
18510833-0616532,NGC6705,282.7847083333285,-6.281444444444338,172.10318,4749.0,57.0,2.2450172999999998,0.11206129,0.205283,34.29425,0.36441422,6.68,7.62,6.57,6.4910000000000005,3.234,3.37,4.95,4.137,5.69,5.685,7.52,7.55,5.05,6.39,2.25
18511534-0618359,NGC6705,282.8139166666619,-6.309972222222116,289.14014,4676.0,57.0,2.1541707999999997,0.11137896,0.2258030000000001,34.4739,0.36498195,6.53,7.59,6.55,6.351,3.1839999999999997,3.35,4.86,4.047,5.63,5.845,7.47,7.49,5.0,6.3,2.17
18510786-0617119,NGC6705,282.7827499999952,-6.286638888888782,310.711,4697.0,57.0,2.2862775,0.11127068,0.191,34.5671,0.36510193,6.53,7.54,6.52,6.341,3.1439999999999997,3.37,4.84,4.027,5.61,5.955,7.47,7.55,4.99,6.28,2.24
18512662-0614537,NGC6705,282.8609166666618,-6.248249999999894,246.64207000000002,4435.0,56.0,2.0308189999999997,0.111146875,0.16,34.62825,0.36464897,6.66,7.73,6.64,6.591,3.194,3.41,4.97,4.2269998,5.7,5.7749996,7.52,7.54,5.14,6.49,2.27
18504563-0612038,NGC6705,282.69012499999525,-6.2010555555554525,187.75645,4745.0,57.0,2.4022023999999997,0.11277181,0.13,34.7149,0.36493486,6.52,7.64,6.66,6.4910000000000005,3.234,3.35,5.0,4.2669997,5.7,5.615,7.47,7.42,5.06,6.31,2.21
18505494-0616182,NGC6705,282.7289166666618,-6.271722222222116,179.64261000000005,4713.0,57.0,2.5016456000000002,0.112988725,0.09000019999999999,35.50425,0.36495343,6.52,7.62,6.6,6.511,3.2039999999999997,3.34,4.99,4.2669997,5.68,5.625,7.47,7.49,5.03,6.33,2.24
18505944-0612435,NGC6705,282.74766666666187,-6.2120833333332275,204.23443999999998,4790.0,57.0,2.3717403,0.11230487,0.13,35.53525,0.3656179,6.56,7.62,6.47,6.331,3.194,3.31,4.82,4.027,5.59,5.645,7.41,7.49,4.91,6.18,2.15
18511571-0618146,NGC6705,282.81545833332854,-6.304055555555447,253.79277000000002,4744.0,57.0,2.4001563,0.11135833,0.2,35.79525,0.36448148,6.62,7.65,6.64,6.541,3.264,3.45,5.0,4.217,5.73,5.7149997,7.55,7.58,5.11,6.43,2.31
18505581-0618148,NGC6705,282.7325416666618,-6.3041111111110055,231.3538,4440.0,57.0,1.9543746,0.11200252,0.19,35.94965399999999,0.36452478,6.43,7.73,6.58,6.7010000000000005,3.154,3.45,4.97,4.197,5.71,5.7149997,7.57,7.55,5.16,6.56,2.29
18511452-0616551,NGC6705,282.8104999999952,-6.281972222222116,172.1633,4736.0,57.0,2.4249853999999997,0.11050356,0.18,35.99495,0.36545745,6.46,7.71,6.52,6.331,3.174,3.38,4.87,4.077,5.6,5.9849997,7.47,7.56,5.0,6.29,2.22
18510023-0616594,NGC6705,282.75095833332864,-6.2831666666665615,167.38654,4433.0,57.0,1.9992898999999997,0.11271964,0.07,36.016098,0.36460176,6.44,7.63,6.61,6.561,3.1439999999999997,3.24,4.93,4.177,5.67,5.495,7.45,7.37,5.09,6.44,2.23
18510032-0617183,NGC6705,282.7513333333285,-6.288416666666563,210.54622999999998,4754.0,57.0,2.3075395,0.11199823,0.160936,36.45005,0.36500323,6.51,7.51,6.45,6.291,3.134,3.29,4.77,3.967,5.55,5.6349998,7.41,7.52,4.89,6.18,2.12
18503724-0614364,NGC6705,282.6551666666618,-6.243444444444339,222.49365,4868.0,57.0,2.5048862,0.11080869,0.15,36.4665,0.36539465,6.57,7.6,6.51,6.3210000000000015,3.2939999999999996,3.3,4.92,4.157,5.64,5.7549996,7.44,7.47,4.95,6.18,2.18
18510358-0616112,NGC6705,282.7649166666618,-6.269777777777669,197.02803,4884.0,57.0,2.4791212000000002,0.11207974,0.2,36.540802,0.364804,6.67,7.66,6.6,6.5310000000000015,3.284,3.4,5.02,4.2669997,5.74,5.6549997,7.55,7.55,5.1,6.37,2.25
18510341-0616202,NGC6705,282.7642083333285,-6.272277777777671,171.26158,4760.0,56.0,2.2063575,0.11243824,0.0600004,37.34155300000001,0.36535916,6.56,7.6,6.51,6.301,3.1839999999999997,3.23,4.84,4.047,5.58,5.745,7.41,7.44,4.91,6.17,2.1
18510708-0617284,NGC6705,282.7794999999952,-6.2912222222221175,88.52155,9840.0,750.0,3.2186506,0.45,0.1,38.1903,0.4067093,,8.03,,,,3.3,,,,,,,,,
18511013-0615486,NGC6705,282.79220833332863,-6.263499999999894,220.63994,4524.0,57.0,2.1404705,0.11220523,0.14,38.44275,0.36437234,6.58,7.64,6.61,6.541,3.2439999999999998,3.38,4.93,4.197,5.67,5.665,7.51,7.53,5.1,6.45,2.23
18510431-0615074,NGC6705,282.7679583333285,-6.25205555555545,69.828575,9123.457,750.0,3.1028807,0.7,0.0,40.555,3.0,,,,,,,,,,,,,,,
18510093-0614564,NGC6705,282.7538749999952,-6.248999999999895,303.94604,4728.0,57.0,2.18266,0.11077527,-0.02,42.93175,0.3649544,6.45,7.49,6.49,6.231,3.0939999,3.13,4.79,4.027,5.5,5.4649997,7.35,7.32,4.85,6.1,2.0
19303943+2015237,NGC6802,292.66429166666165,20.256583333333,114.3658,4966.0,61.0,2.8150783,0.11645943,0.26,10.392449000000001,0.36475396,6.45,7.56,6.51,6.4510000000000005,3.2939999999999996,3.42,4.95,4.117,5.71,5.7549996,7.53,7.64,4.99,6.31,2.39
19303309+2015442,NGC6802,292.63787499999506,20.26227777777744,132.01219,4809.0,60.0,2.6162655,0.11592894,0.17,11.4145,0.36457184,6.45,7.55,6.52,6.4510000000000005,3.194,3.38,4.93,4.147,5.69,5.665,7.51,7.59,5.01,6.34,2.35
19304170+2015224,NGC6802,292.6737499999951,20.25622222222188,106.537605,5103.0,61.0,3.1353467,0.11681109,0.29,11.5005,0.3650772,6.35,7.51,6.5,6.341,3.2439999999999998,3.39,4.92,4.077,5.65,5.7149997,7.46,7.62,4.93,6.2,2.36
19303058+2013163,NGC6802,292.6274166666617,20.221194444444095,83.273575,4952.0,61.0,2.7698705,0.11628595,0.21,11.5656,0.36527133,6.34,7.56,6.45,6.3710002999999995,3.154,3.35,4.81,3.957,5.61,5.8149996,7.44,7.61,4.86,6.2,2.29
19303184+2014459,NGC6802,292.6326666666617,20.24608333333299,109.93857,5015.0,60.0,2.8764953999999996,0.11673381,0.29,11.9836,0.36483586,6.43,7.56,6.55,6.421,3.2239999999999998,3.41,4.91,4.087,5.71,5.685,7.51,7.63,4.97,6.28,2.37
19303274+2014498,NGC6802,292.63641666666166,20.24713888888855,107.30468,4846.0,61.0,2.6110507999999997,0.11703748,0.15,12.2224,0.3649074,6.39,7.49,6.43,6.341,3.054,3.28,4.76,3.897,5.59,5.6549997,7.42,7.56,4.85,6.21,2.26
19303085+2016274,NGC6802,292.62854166666176,20.274277777777428,108.73471,4911.0,60.0,2.7068324,0.11658487,0.25,12.286099,0.36470538,6.44,7.53,6.45,6.421,3.1439999999999997,3.4,4.85,3.977,5.65,5.745,7.47,7.63,4.9,6.29,2.35
19303611+2016329,NGC6802,292.65045833332834,20.27580555555521,119.746544,4874.0,61.0,2.6749002999999996,0.115361825,0.27,12.44535,0.36476162,6.36,7.53,6.45,6.351,3.1239999999999997,3.36,4.81,3.957,5.63,5.705,7.46,7.61,4.92,6.26,2.33
19303884+2014005,NGC6802,292.6618333333284,20.23347222222188,107.82391000000001,5008.0,60.0,2.8815402999999997,0.116764404,0.26,13.472301000000002,0.3647970999999999,6.37,7.55,6.52,6.461,3.2239999999999998,3.38,4.89,4.047,5.66,5.6949997,7.5,7.64,4.93,6.29,2.37
19303773+2016196,NGC6802,292.6572083333285,20.272111111110767,87.47890500000004,4894.0,61.0,2.8675062999999996,0.117380574,0.16,16.631851,0.36579692,6.28,7.51,6.38,6.3610000000000015,3.154,3.29,4.83,4.0169999999999995,5.64,5.685,7.39,7.55,4.87,6.16,2.3
19304281+2016107,NGC6802,292.678374999995,20.269638888888547,67.09337,4759.0,67.0,2.6272006,0.12226437,-0.04,17.3539,0.36548302,5.97,7.37,6.33,6.1610002999999995,3.0039999999999996,3.17,4.66,3.8070002,5.45,5.4849997,7.21,7.36,4.77,6.05,1.98
19303970+2013474,NGC6802,292.66541666666177,20.22983333333299,153.45663000000005,5086.0,60.0,2.2757982999999995,0.11518588,0.18,24.0499,0.3646656,6.33,7.54,6.45,6.3710002999999995,3.0839999,3.29,4.77,3.877,5.51,5.615,7.36,7.49,4.73,6.08,2.28
13372876-6202527,Pismis18,204.3698333333299,-62.047972222221155,107.24311999999999,4889.0,61.0,2.9611442,0.11803283,0.38,-33.899,0.3646642000000001,6.41,7.65,6.52,6.551,3.264,3.59,4.98,4.187,5.77,5.8349996,7.61,7.73,5.1,6.46,2.42
13371182-6206030,Pismis18,204.29924999999665,-62.10083333333228,132.92366,4950.0,60.0,2.7447622000000003,0.114832684,0.21,-28.31955,0.36475128,6.53,7.6,6.52,6.461,3.3139999999999996,3.42,4.96,4.177,5.69,5.7149997,7.53,7.58,5.03,6.33,2.31
13365597-6205130,Pismis18,204.23320833332988,-62.08694444444339,156.2259,4882.0,60.0,2.6163251,0.115385294,0.23,-28.13385,0.36461475,6.51,7.59,6.43,6.441,3.194,3.39,4.87,4.0569999999999995,5.64,5.685,7.5,7.59,4.96,6.3,2.25
13370523-6206433,Pismis18,204.2717916666633,-62.112027777776746,135.7721,4861.0,60.0,2.6387825,0.11518365,0.22,-27.785999999999998,0.3648619,6.47,7.52,6.4,6.381,3.1639999999999997,3.32,4.81,4.007,5.61,5.725,7.44,7.58,4.91,6.23,2.22
13365882-6205197,Pismis18,204.2450833333299,-62.0888055555545,102.467636,5045.0,60.0,3.0080270000000002,0.117702834,0.14,-27.377449,0.36575738,6.47,7.59,6.41,6.421,3.284,3.37,4.91,4.127,5.68,5.6949997,7.45,7.55,4.94,6.23,2.2
13370214-6206095,Pismis18,204.25891666666328,-62.10263888888785,116.188065,4933.0,60.0,2.8096433,0.11548517,0.29,-26.8247,0.36461008,6.48,7.61,6.45,6.471,3.2239999999999998,3.44,4.9,4.087,5.69,5.765,7.52,7.66,4.99,6.32,2.37
13364831-6206517,Pismis18,204.20129166666317,-62.11436111111005,117.15678,4983.0,60.0,2.8494677999999998,0.11715129999999999,0.23,-26.779049,0.36477488,6.51,7.58,6.46,6.481,3.264,3.43,4.92,4.107,5.69,5.705,7.53,7.63,4.98,6.31,2.32
13365001-6205376,Pismis18,204.2083749999966,-62.093777777776715,148.15613000000005,4955.0,60.0,2.8096172999999998,0.11487896,0.22,-18.386799,0.36448953,6.48,7.58,6.44,6.4910000000000005,3.264,3.42,4.93,4.117,5.67,5.705,7.53,7.63,4.97,6.33,2.32
03420472+2251308,Pleiades,-999.9,-999.9,3879.4224,5926.0,0.0,2.99,0.0,-1.7,5.1127,0.4,,,,4.7200003,,2.65,5.19,,,5.48,5.75,5.7,,4.79,
16284724-2404046,Rho_Oph,247.19683333332912,-24.06794444444404,47.73444,5131.0,205.0,3.3273813999999997,0.18492281,0.1118395,-35.2202,0.3664734000000001,6.5499997,7.64,6.6,6.61,3.52,3.39,5.17,4.48,5.93,,7.55,7.37,5.26,6.37,2.27
16291704-2424080,Rho_Oph,247.32099999999585,-24.40222222222181,87.03581,4681.0,14.0,2.643736,0.041443907,0.111933246,-26.290249,0.36483452,6.5299997,7.75,6.6499996,6.54,3.2,3.51,5.15,4.35,5.74,5.66,7.56,7.58,5.22,6.42,2.07
16290921-2426425,Rho_Oph,247.28837499999577,-24.44513888888848,75.72312,4435.0,0.0,2.12,0.0,-0.33,4.47805,0.3655407,6.18,7.54,6.46,6.56,3.3,3.3500001000000004,5.35,4.48,5.57,5.2000003,7.28,7.07,5.01,6.15,2.15
