CNAME,GES_FLD,RA,DEC,SNR,TEFF,E_TEFF,LOGG,E_LOGG,FEH,VRAD,E_VRAD,NA1,MG1,AL1,CA1,SC1,SC2,TI1,V1,CR1,CR2,FE1,FE2,CO1,NI1,Y2
07381317+2131524,NGC2420,114.55487499999805,21.531222222221857,52.57128,5209.0,59.0,3.533715,0.11633368599999999,-0.12,73.87665600000003,0.3655155,5.98,7.37,6.17,6.311,3.0639999999999996,3.09,4.8,3.917,5.46,5.475,7.28,7.34,4.69,6.0,2.08
07382166+2133514,NGC2420,114.59024999999808,21.564277777777413,164.95748999999995,4516.0,57.0,2.1419995,0.11205539,-0.21,73.893105,0.36434805,6.02,7.3,6.18,6.2410000000000005,2.904,3.08,4.64,3.8470001000000003,5.34,5.365,7.2,7.26,4.7,6.04,1.96
07380545+2136507,NGC2420,114.52270833333138,21.614083333332967,144.13069,4819.0,57.0,2.8708117000000004,0.11277264,-0.14,73.95365,0.36435259999999997,6.02,7.33,6.19,6.251,2.964,3.17,4.71,3.8569999999999998,5.37,5.4049997,7.26,7.34,4.69,6.05,2.04
07382195+2135508,NGC2420,114.59145833333142,21.59744444444408,108.56591,4876.0,57.0,2.6836947999999996,0.114325106,-0.09891280000000001,73.96545,0.3645736,6.09,7.39,6.26,6.381,3.054,3.21,4.79,3.907,5.45,5.4449997,7.33,7.37,4.73,6.1,2.1
07382208+2136432,NGC2420,114.59199999999808,21.611999999999643,105.35963000000001,4938.0,58.0,2.7787029999999997,0.11269923,-0.13,74.11035,0.36457673,6.08,7.38,6.22,6.3210000000000015,3.0239999999999996,3.19,4.78,3.877,5.4,5.415,7.3,7.34,4.7,6.05,2.09
07382148+2135051,NGC2420,114.58949999999805,21.58474999999964,142.00516000000005,4867.0,57.0,2.9725203999999996,0.11291709,-0.109,74.13835,0.36436024,6.13,7.39,6.24,6.331,3.034,3.24,4.79,3.947,5.44,5.4849997,7.31,7.4,4.75,6.11,2.11
07382670+2128515,NGC2420,114.61124999999805,21.48097222222186,130.1181,4895.0,58.0,2.7071252,0.1131096,-0.122,74.34815,0.36441809999999997,6.07,7.37,6.21,6.301,3.014,3.16,4.71,3.8270001000000002,5.4,5.415,7.26,7.33,4.69,6.03,2.04
07382406+2132148,NGC2420,114.60024999999806,21.53744444444408,182.28736999999998,4953.0,57.0,2.7923372000000004,0.11177003,-0.13,74.357506,0.3642331,6.08,7.36,6.21,6.311,3.034,3.18,4.77,3.907,5.42,5.395,7.28,7.33,4.72,6.03,2.05
07382580+2132594,NGC2420,114.60749999999807,21.549833333332966,53.4481,6155.0,64.0,3.2229908,0.12150756,-0.36,74.4416,0.36885014,,,,,4.1540003,,,,,,6.8799996,6.9199996,,,
07380599+2133071,NGC2420,114.52495833333141,21.55197222222186,62.404617,5136.0,58.0,3.4021053,0.115082845,-0.13,74.619896,0.36519992,5.95,7.34,6.21,6.271,3.0239999999999996,3.13,4.75,3.8270001000000002,5.42,5.4049997,7.24,7.33,4.64,5.97,2.07
07382696+2133313,NGC2420,114.6123333333314,21.558694444444075,248.90947999999997,5144.0,57.0,2.5831332000000002,0.11200472,-0.13,74.7052,0.36412114,6.14,7.35,6.14,6.231,2.9139999999999997,3.05,4.62,3.697,5.31,5.375,7.2,7.27,4.55,5.88,2.47
07380399+2134122,NGC2420,114.51662499999807,21.5700555555552,91.166985,5854.0,58.0,3.351729,0.11391037,-0.23,74.72060400000002,0.36602068,5.98,7.4,6.18,6.191,3.884,2.89,4.7,3.877,5.32,5.3349996,7.21,7.21,4.65,5.85,1.88
07381972+2136522,NGC2420,114.58216666666478,21.61449999999964,77.47306999999998,5146.0,57.0,3.3810256,0.11440579599999999,-0.157,75.09846,0.36488697,6.0,7.39,6.22,6.3210000000000015,3.074,3.09,4.77,3.887,5.44,5.375,7.26,7.31,4.66,5.98,2.02
07382984+2134509,NGC2420,114.6243333333314,21.580805555555187,129.05624,4815.0,58.0,2.8850937,0.11294749400000001,-0.11,75.10865,0.36442873,6.07,7.35,6.23,6.301,3.0439999999999996,3.22,4.78,3.947,5.43,5.4449997,7.31,7.35,4.75,6.11,2.1
07382501+2133283,NGC2420,114.60420833333141,21.557861111110743,68.130875,5201.0,58.0,3.5856845,0.11547373,-0.14,75.43215,0.36506137,5.97,7.32,6.15,6.2810000000000015,3.0439999999999996,3.11,4.76,3.867,5.44,5.4649997,7.26,7.32,4.68,5.99,2.05
07381549+2138015,NGC2420,114.56454166666477,21.633749999999644,98.55198,4897.0,57.0,2.8118703,0.1141535,-0.124,75.66345,0.3646419,6.06,7.35,6.22,6.311,3.0039999999999996,3.21,4.76,3.877,5.39,5.455,7.29,7.35,4.71,6.07,2.11
07444895-3823279,NGC2451,116.20395833333136,-38.39108333333269,130.447,7264.0,750.0,3.5,0.45,0.0,2.9265,3.0,,,,,,,,,,,,,,,
07492008-3759453,NGC2451,117.3336666666647,-37.99591666666602,112.54451999999999,5118.0,14.0,3.2454520000000002,0.05370359,-0.13982543,4.69615,0.36484447,6.0299997,7.31,6.18,6.36,2.83,3.2900002,4.76,3.8999998999999996,5.47,5.4,7.32,7.35,4.74,6.05,1.99
07440569-3753361,NGC2451,116.02370833333136,-37.893361111110465,256.5757,7083.0,750.0,3.5,0.45,0.0,10.523049,4.2426405,,,,,,,,,,,,,,,
07473811-3719274,NGC2451,116.9087916666647,-37.32427777777715,83.53102,4894.0,9.0,2.7762352999999997,0.09411965,-0.11431108,13.32255,0.36482057,6.1,7.47,6.2799997,6.29,2.97,3.3500001000000004,4.78,4.01,5.37,5.4,7.31,7.42,4.88,6.14,1.98
07424356-3802578,NGC2451,115.68149999999805,-38.04938888888825,245.05562,8101.0,750.0,3.2028,0.45,0.1,16.43785,0.55116975,,,,,,,,,,,,,,,
07471789-3739517,NGC2451,116.8245416666647,-37.66436111111048,84.508224,4636.0,8.0,2.7633927000000003,0.0781444,0.19967449999999998,23.179302,0.36512023,6.66,7.759999799999999,6.77,6.56,3.39,3.67,5.19,4.49,5.76,5.57,7.63,7.65,5.32,6.56,2.21
07450057-3811337,NGC2451,116.25237499999807,-38.192694444443795,290.19293,7361.0,750.0,3.5,0.45,0.0,26.392452000000002,0.5415831999999999,5.79,7.04,6.96,5.811,4.784,2.8,5.46,5.197,5.77,5.115,,,5.72,6.36,2.08
