CNAME,GES_FLD,WG,RA,DEC,SNR,TEFF,E_TEFF,LOGG,E_LOGG,FEH,XI,MH,ALPHA_FE,VRAD,E_VRAD,VSINI,E_VSINI,TEFF_PHOT,E_TEFF_PHOT,TEFF_IRFM,E_TEFF_IRFM,FBOL_IRFM,HE1,LI1,C1,C2,C3,N2,N3,O1,O2,NE1,NE2,NA1,MG1,MG2,AL1,AL2,AL3,SI1,SI2,SI3,SI4,S1,S2,S3,CA1,CA2,SC1,SC2,TI1,TI2,V1,V2,CR1,CR2,MN1,FE1,FE2,FE3,CO1,NI1,CU1,ZN1,SR1,Y1,Y2,ZR1,ZR2,NB1,MO1,RU1,BA2,LA2,CE2,PR2,ND2,SM2,EU2,GD2,DY2,SPT
11010007-7738516,Cha_I,WG12,165.2502916666639,-77.64766666666536,76.47251,3934.0,0.0,1.62,0.0,-0.25,,,,108.4083,0.3660837,4.2728410000000006,4.118004,,,,,,,1.5500187,,,,,,,,,,5.6299996,7.37,,5.93,,,,,,,,,,5.9700003,,2.52,3.2800002,4.63,,3.74,,4.93,5.4,,7.05,7.57,,4.79,6.02,,,,,1.91,1.98,,,2.04,,,0.5,1.0400001,,,,0.36,,,K1.5III
10554858-7651504,Cha_I,WG12,163.95241666666388,-76.8639999999987,104.00001,7564.0,0.0,4.07,0.0,-0.1,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A9IV
10555973-7724399,Cha_I,WG12,163.99887499999718,-77.41108333333203,9.7963915,4668.0,0.0,4.28,0.0,-0.68,,,,,,,,,,,,,,2.5357258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K3V
11092378-7623207,Cha_I,WG12,167.3490833333305,-76.38908333333204,114.787094,4294.0,0.0,4.44,0.0,-0.67,,,,,,,,,,,,,,1.5342418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K6V
08391618-5316486,IC2391,WG11:WG12:WG13,129.81741666666443,-53.28016666666576,109.928375,10600.0,750.0,3.801646,0.3,0.0,,,,-535.8184,0.5633241999999999,41.741905,8.701905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08421899-5306002,IC2391,WG11:WG12:WG13,130.57912499999782,-53.10005555555465,201.24109,12600.0,750.0,3.9,0.3,-0.2,2.0,,,15.8669,0.31169325,4.817857,1.8285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08395937-5315394,IC2391,WG11:WG12:WG13,129.9973749999978,-53.26094444444355,430.12256,10200.0,750.0,3.9,0.3,0.8,2.0,,,16.04435,3.0055342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A2Vp
08392384-5326231,IC2391,WG11:WG12:WG13,129.84933333333117,-53.439749999999094,343.04077,14790.0,750.0,4.0597987,0.2,-0.2,2.0,,,25.4406,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08393496-5318577,IC2391,WG11:WG12:WG13,129.89566666666448,-53.31602777777686,372.06436,10231.0,750.0,3.6004114,0.45,0.0,,,,25.484402,4.2426405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08384480-5305253,IC2391,WG11:WG12:WG13,129.68666666666448,-53.09036111111023,322.3564,11801.0,750.0,4.0341562999999985,0.2,-0.7,2.0,,,30.719,0.3115073,4.576428400000001,1.7542856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
