CNAME,GES_FLD,OBJECT,FILENAME,GES_TYPE,REC_SETUP,RAVAIL_SETUP,SETUP,REC_WG,RAVAIL_WG,WG,RA,DEC,SNR,TEFF,E_TEFF,NN_TEFF,ENN_TEFF,NNE_TEFF,SYS_ERR_TEFF,LOGG,E_LOGG,NN_LOGG,ENN_LOGG,NNE_LOGG,SYS_ERR_LOGG,LIM_LOGG,FEH,E_FEH,NN_FEH,ENN_FEH,NNE_FEH,SYS_ERR_FEH,XI,E_XI,NN_XI,ENN_XI,NNE_XI,MH,E_MH,NN_MH,ENN_MH,NNE_MH,ALPHA_FE,E_ALPHA_FE,NN_ALPHA_FE,ENN_ALPHA_FE,NNE_ALPHA_FE,VRAD,E_VRAD,PROV_VRAD,VRAD_OFFSET,VRAD_FILENAME,VSINI,E_VSINI,LIM_VSINI,TEFF_PHOT,E_TEFF_PHOT,TEFF_IRFM,E_TEFF_IRFM,FBOL_IRFM,HE1,UPPER_COMBINED_HE1,E_HE1,NN_HE1,ENN_HE1,NL_HE1,PROVENANCE_HE1,LI1,UPPER_COMBINED_LI1,E_LI1,NN_LI1,ENN_LI1,NL_LI1,PROVENANCE_LI1,C1,UPPER_COMBINED_C1,E_C1,NN_C1,ENN_C1,NL_C1,PROVENANCE_C1,C2,UPPER_C2,E_C2,NN_C2,ENN_C2,NL_C2,PROVENANCE_C2,C3,UPPER_C3,E_C3,NN_C3,ENN_C3,NL_C3,PROVENANCE_C3,C_C2,UPPER_C_C2,E_C_C2,NN_C_C2,ENN_C_C2,NL_C_C2,PROVENANCE_C_C2,N2,UPPER_N2,E_N2,NN_N2,ENN_N2,NL_N2,PROVENANCE_N2,N3,UPPER_N3,E_N3,NN_N3,ENN_N3,NL_N3,PROVENANCE_N3,N_CN,UPPER_N_CN,E_N_CN,NN_N_CN,ENN_N_CN,NL_N_CN,PROVENANCE_N_CN,O1,UPPER_COMBINED_O1,E_O1,NN_O1,ENN_O1,NL_O1,PROVENANCE_O1,O2,UPPER_O2,E_O2,NN_O2,ENN_O2,NL_O2,PROVENANCE_O2,NE1,UPPER_COMBINED_NE1,E_NE1,NN_NE1,ENN_NE1,NL_NE1,PROVENANCE_NE1,NE2,UPPER_NE2,E_NE2,NN_NE2,ENN_NE2,NL_NE2,NA1,UPPER_COMBINED_NA1,E_NA1,NN_NA1,ENN_NA1,NL_NA1,PROVENANCE_NA1,MG1,UPPER_COMBINED_MG1,E_MG1,NN_MG1,ENN_MG1,NL_MG1,PROVENANCE_MG1,MG2,UPPER_MG2,E_MG2,NN_MG2,ENN_MG2,NL_MG2,PROVENANCE_MG2,AL1,UPPER_COMBINED_AL1,E_AL1,NN_AL1,ENN_AL1,NL_AL1,PROVENANCE_AL1,AL2,UPPER_AL2,E_AL2,NN_AL2,ENN_AL2,NL_AL2,PROVENANCE_AL2,AL3,UPPER_AL3,E_AL3,NN_AL3,ENN_AL3,NL_AL3,SI1,UPPER_COMBINED_SI1,E_SI1,NN_SI1,ENN_SI1,NL_SI1,PROVENANCE_SI1,SI2,UPPER_SI2,E_SI2,NN_SI2,ENN_SI2,NL_SI2,PROVENANCE_SI2,SI3,UPPER_SI3,E_SI3,NN_SI3,ENN_SI3,NL_SI3,PROVENANCE_SI3,SI4,UPPER_SI4,E_SI4,NN_SI4,ENN_SI4,NL_SI4,PROVENANCE_SI4,S1,UPPER_COMBINED_S1,E_S1,NN_S1,ENN_S1,NL_S1,PROVENANCE_S1,S2,UPPER_S2,E_S2,NN_S2,ENN_S2,NL_S2,S3,UPPER_S3,E_S3,NN_S3,ENN_S3,NL_S3,CA1,UPPER_COMBINED_CA1,E_CA1,NN_CA1,ENN_CA1,NL_CA1,PROVENANCE_CA1,CA2,UPPER_CA2,E_CA2,NN_CA2,ENN_CA2,NL_CA2,PROVENANCE_CA2,SC1,UPPER_COMBINED_SC1,E_SC1,NN_SC1,ENN_SC1,NL_SC1,PROVENANCE_SC1,SC2,UPPER_SC2,E_SC2,NN_SC2,ENN_SC2,NL_SC2,PROVENANCE_SC2,TI1,UPPER_COMBINED_TI1,E_TI1,NN_TI1,ENN_TI1,NL_TI1,PROVENANCE_TI1,TI2,UPPER_TI2,E_TI2,NN_TI2,ENN_TI2,NL_TI2,PROVENANCE_TI2,V1,UPPER_COMBINED_V1,E_V1,NN_V1,ENN_V1,NL_V1,PROVENANCE_V1,V2,UPPER_V2,E_V2,NN_V2,ENN_V2,NL_V2,CR1,UPPER_COMBINED_CR1,E_CR1,NN_CR1,ENN_CR1,NL_CR1,PROVENANCE_CR1,CR2,UPPER_CR2,E_CR2,NN_CR2,ENN_CR2,NL_CR2,PROVENANCE_CR2,MN1,UPPER_COMBINED_MN1,E_MN1,NN_MN1,ENN_MN1,NL_MN1,PROVENANCE_MN1,FE1,UPPER_COMBINED_FE1,E_FE1,NN_FE1,ENN_FE1,NL_FE1,PROVENANCE_FE1,FE2,UPPER_FE2,E_FE2,NN_FE2,ENN_FE2,NL_FE2,PROVENANCE_FE2,FE3,UPPER_FE3,E_FE3,NN_FE3,ENN_FE3,NL_FE3,CO1,UPPER_COMBINED_CO1,E_CO1,NN_CO1,ENN_CO1,NL_CO1,PROVENANCE_CO1,NI1,UPPER_COMBINED_NI1,E_NI1,NN_NI1,ENN_NI1,NL_NI1,PROVENANCE_NI1,CU1,UPPER_COMBINED_CU1,E_CU1,NN_CU1,ENN_CU1,NL_CU1,PROVENANCE_CU1,ZN1,UPPER_COMBINED_ZN1,E_ZN1,NN_ZN1,ENN_ZN1,NL_ZN1,PROVENANCE_ZN1,SR1,UPPER_COMBINED_SR1,E_SR1,NN_SR1,ENN_SR1,NL_SR1,PROVENANCE_SR1,Y1,UPPER_COMBINED_Y1,E_Y1,NN_Y1,ENN_Y1,NL_Y1,Y2,UPPER_Y2,E_Y2,NN_Y2,ENN_Y2,NL_Y2,PROVENANCE_Y2,ZR1,UPPER_COMBINED_ZR1,E_ZR1,NN_ZR1,ENN_ZR1,NL_ZR1,PROVENANCE_ZR1,ZR2,UPPER_ZR2,E_ZR2,NN_ZR2,ENN_ZR2,NL_ZR2,PROVENANCE_ZR2,NB1,UPPER_COMBINED_NB1,E_NB1,NN_NB1,ENN_NB1,NL_NB1,MO1,UPPER_COMBINED_MO1,E_MO1,NN_MO1,ENN_MO1,NL_MO1,PROVENANCE_MO1,RU1,UPPER_COMBINED_RU1,E_RU1,NN_RU1,ENN_RU1,NL_RU1,PROVENANCE_RU1,BA2,UPPER_BA2,E_BA2,NN_BA2,ENN_BA2,NL_BA2,PROVENANCE_BA2,LA2,UPPER_LA2,E_LA2,NN_LA2,ENN_LA2,NL_LA2,PROVENANCE_LA2,CE2,UPPER_CE2,E_CE2,NN_CE2,ENN_CE2,NL_CE2,PROVENANCE_CE2,PR2,UPPER_PR2,E_PR2,NN_PR2,ENN_PR2,NL_PR2,PROVENANCE_PR2,ND2,UPPER_ND2,E_ND2,NN_ND2,ENN_ND2,NL_ND2,PROVENANCE_ND2,SM2,UPPER_SM2,E_SM2,NN_SM2,ENN_SM2,NL_SM2,PROVENANCE_SM2,EU2,UPPER_EU2,E_EU2,NN_EU2,ENN_EU2,NL_EU2,PROVENANCE_EU2,GD2,UPPER_GD2,E_GD2,NN_GD2,ENN_GD2,NL_GD2,DY2,UPPER_DY2,E_DY2,NN_DY2,ENN_DY2,NL_DY2,SPT,VEIL,E_VEIL,EW_LI,LIM_EW_LI,E_EW_LI,PROVENANCE_EW_LI,EWC_LI,LIM_EWC_LI,E_EWC_LI,EW_HA_ACC,E_EW_HA_ACC,HA10,E_HA10,EW_HA_CHR,E_EW_HA_CHR,FHA_CHR,E_FHA_CHR,FWZI,E_FWZI,EW_HB_CHR,E_EW_HB_CHR,FHB_CHR,E_FHB_CHR,LOG_MDOT_ACC,E_LOG_MDOT_ACC,LOG_L_ACC,E_LOG_L_ACC,GAMMA,E_GAMMA,CONVOL,E_CONVOL,M_ALPHA,M_GRID,M_BROAD,M_LOOPS,M_NAME,PECULI,REMARK,TECH
03340731+2420400,Pleiades,Pels6_Benchmarks_BordeauxLib4,uhl_03340731+2420400_580.0.fits|uhu_03340731+2420400_580.0.fits,AR_CL,U580,U580,U580:U580:U580,WG12,WG11:WG12:WG13,WG11:WG12:WG13,-999.9,-999.9,2126.902,6278.0,0.0,1,155.0,1,,3.93,0.0,1,0.15,1,,0,-0.2,0.0,1,0.14,1,,1.3362461,0.1,1,,,,,,,,,,,,,2.4606,0.56568545,Arcetri|U580M,-0.04,uhl_03340731+2420400_580.0.fits|uhu_03340731+2420400_580.0.fits,,,0,,,,,,,,,,,,,2.7160246,0,0.39839596,1,0.39839596,1,WG12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4599996,,0.3,3,,110,WG11,7.4599996,,0.44,3,,10,WG11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,,,,,,,,,,,,1.1,0,0.0,1,0.04,,WG12,,,,,,," ",,,,,,,,,,,,,," ",,,,,,,,,,,,,,,,,,,,F6IV,,,52.0,0,17.1,WG12,62.7,1,17.1,,,,,,,,,,,,,,,,,,,,,,,," ",,," ",20020-11-03-00-A|20020-12-01-00-A,,10105-11-04-01-A|10105-11-09-00-A|10105-12-09-00-A|10302-11-02-01-A|10302-11-11-01-A|10302-12-02-01-A|10302-12-11-01-A|10303-11-13-01-A|10303-12-01-01-A|10303-13-19-01-A|10308-11-08-01-A|10308-13-17-00-A|10315-15-00-01-A|10391-15-00-03-A|10399-11-05-00-B|10399-13-15-00-A|10399-13-18-00-A|10399-13-20-00-A|10399-13-21-00-A|12005-11-02-01-A|12005-12-02-01-A|12008-11-02-01-A|12008-12-02-01-A|12099-11-05-00-B|12138-11-02-01-A|12138-12-02-01-A|12140-11-02-01-A|12140-12-02-01-A|14112-11-13-01-A|14113-11-13-01-A|14121-11-13-01-A|14123-11-13-01-A|14125-11-13-01-A|14127-11-13-01-A|14130-11-13-01-A|14214-11-13-01-A|14220-11-13-01-A|14222-11-13-01-A|14224-11-13-01-A|14240-11-13-01-A|14906-11-13-01-A|14907-11-13-01-A|16140-11-02-01-A|16239-11-02-01-A|16239-12-02-01-A|16240-11-02-01-A|16240-12-02-01-A|16256-11-02-01-A|16256-12-02-01-A|17130-11-02-01-A|17130-12-02-01-A|18108-11-13-01-A
03343624+2035575,Pleiades,BD20594_Benchmarks_BordeauxLib4,uhl_03343624+2035575_580.0.fits|uhu_03343624+2035575_580.0.fits,AR_CL,U580,U580,U580:U580:U580,WG12,WG11:WG12:WG13,WG11:WG12:WG13,-999.9,-999.9,2849.6685,5626.0,22.0,4,100.0,4,,4.1402206,0.030633323,4,0.16788588,4,,0,-0.15041076,0.013176247,4,0.084847435,4,,0.73,0.0,1,0.164,1,,,,,,,,,,,-20.137398,0.56568545,Arcetri|U580M,-0.04,uhl_03343624+2035575_580.0.fits|uhu_03343624+2035575_580.0.fits,,,1,,,,,,,,,,,,,0.37398046,1,,2,,1,WG12,8.09,0,0.01,1,,2,WG11,,,,,,,,,,,,,,,8.16,0,0.02,1,,1,WG11,,,,,,," ",,,,,,,,,,,,,,,8.352,0,0.03,1,,1,WG11,,,,,,,,,,,,,," ",,,,,,,6.0,0,0.0,2,0.03,5,WG12,7.59,0,0.05,3,0.08,4,WG12,,,,,,," ",6.31,0,0.02,3,0.04,2,WG12,,,,,,,,,,,,,,7.4,0,0.04,3,0.06,23,WG12,7.3,0,0.03,3,,2,WG11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.38,0,0.02,3,0.07,3,WG12,,,,,,,,3.104,0,0.13,3,,1,WG11,3.3200002,0,0.04,2,0.05,10,WG12,4.88,0,0.01,3,0.06,48,WG12,4.86,0,0.01,3,0.06,15,WG12,3.9499998,0,0.06,2,0.05,21,WG12,,,,,,,5.44,0,0.01,2,0.08,18,WG12,5.375,0,0.03,3,,2,WG11,5.18,0,0.05,1,,3,WG11,7.32,0,0.04,2,0.11,262,WG12,7.26,0,0.03,2,0.1,22,WG12,,,,,,,4.74,0,0.0,2,0.08,11,WG12,6.07,0,0.01,3,0.05,46,WG12,4.0,0,0.07,3,,2,WG11,4.644,0,0.03,1,,1,WG11,,,,,,," ",,,,,,,1.76,0,0.04,2,0.09,6,WG12,,,,,,,,2.24,0,0.05,1,,1,WG11,,,,,,,,,,,,,,,,,,,," ",1.9699999,0,0.04,2,0.02,2,WG12,1.54,0,0.0,1,,,WG12,1.4100001,0,0.0,1,0.09,1,WG12,,,,,,," ",1.42,0,0.09,1,,4,WG11,,,,,,," ",,,,,,,,,,,,,,,,,,,,G1V,,,12.3,3,,WG11,12.3,3,,,,,,,,,,,,,,,,,,,,,,,,," ",,," ",,,10105-11-04-01-A|10105-11-09-00-A|10105-12-09-00-A|10303-13-19-01-A|10308-13-17-00-A|10399-11-05-00-B|10399-13-15-00-A|10399-13-18-00-A|10399-13-20-00-A|10399-13-21-00-A|12005-11-02-01-A|12005-12-02-01-A|12099-11-05-00-B|12138-11-02-01-A|12138-12-02-01-A|12140-11-02-01-A|12140-12-02-01-A|14103-11-13-01-A|14220-11-13-01-A|14240-11-13-01-A|14907-11-13-01-A|16140-11-02-01-A|16240-12-02-01-A
03382257+2229589,Pleiades,Pels15_Benchmarks_BordeauxLib4,uhl_03382257+2229589_580.0.fits|uhu_03382257+2229589_580.0.fits,AR_CL,U580,U580,U580:U580:U580,WG12,WG11:WG12:WG13,WG11:WG12:WG13,-999.9,-999.9,4752.4004,5975.0,0.0,1,122.0,1,,4.29,0.0,1,0.18,1,,0,-0.01,0.0,1,0.13,1,,1.1615492,0.1,1,,,,,,,,,,,,,6.7059,0.56568545,Arcetri|U580M,-0.04,uhl_03382257+2229589_580.0.fits|uhu_03382257+2229589_580.0.fits,,,0,,,,,,,,,,,,,2.9,0,0.17,2,,2,WG11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.64,,0.15,2,,71,WG11,7.8199997,,0.32,2,,12,WG11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,,,,2.49,0,0.0,1,0.04,,WG12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,,,,,,,,,,," ",,,,,,,,,,,,,,,,,,,,G0V,,,138.0,3,0.1,WG11,,,,,,,,0.126,0.0,1083067.6,80036.65,,,0.015,0.0,184715.62,18238.95,,,,,,,,,," ",,," ",,,10105-11-04-01-A|10105-11-09-00-A|10105-12-09-00-A|10302-11-02-01-A|10302-11-11-01-A|10302-11-13-01-A|10302-12-02-01-A|10302-12-11-01-A|10303-12-01-01-A|10303-13-19-01-A|10308-11-08-01-A|10308-13-17-00-A|10315-15-00-01-A|10391-15-00-03-A|10399-11-05-00-B|10399-13-15-00-A|10399-13-18-00-A|10399-13-20-00-A|10399-13-21-00-A|12005-11-02-01-A|12005-12-02-01-A|12008-11-02-01-A|12008-12-02-01-A|12099-11-05-00-B|12138-11-02-01-A|12138-12-02-01-A|12140-11-02-01-A|12140-12-02-01-A|14103-11-13-01-A|14111-11-13-01-A|14112-11-13-01-A|14113-11-13-01-A|14114-11-13-01-A|14120-11-13-01-A|14121-11-13-01-A|14122-11-13-01-A|14123-11-13-01-A|14214-11-13-01-A|14220-11-13-01-A|14221-11-13-01-A|14222-11-13-01-A|14906-11-13-01-A|14907-11-13-01-A|16129-11-02-01-A|16129-12-02-01-A|16140-11-02-01-A|16240-12-02-01-A|16256-11-02-01-A|16256-12-02-01-A|16258-11-02-01-A|16258-12-02-01-A|17106-11-02-01-A|17106-12-02-01-A|18108-11-13-01-A
03391347+2427595,Pleiades,Pels18_Benchmarks_BordeauxLib4,uhl_03391347+2427595_580.0.fits|uhu_03391347+2427595_580.0.fits,AR_CL,U580,U580,U580:U580:U580,WG12,WG11:WG12:WG13,WG11:WG12:WG13,-999.9,-999.9,4273.9565,6169.0,7.0,2,81.0,2,,4.5704603,0.020209892,2,0.15046018,2,,0,0.04000001,3.376143E-8,2,0.074999996,2,,1.4200001,0.042426452,2,0.11,2,,,,,,,,,,,4.60925,0.56568545,Arcetri|U580M,-0.04,uhl_03391347+2427595_580.0.fits|uhu_03391347+2427595_580.0.fits,,,0,,,,,,,,,,,,,3.2438293,0,0.12017279,1,0.12017279,1,WG12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,,,,6.1099997,0,0.01,2,0.04,,WG12,7.48,0,0.01,2,0.17,,WG12,,,,,,," ",6.2599998,0,0.15,2,0.14,,WG12,,,,,,,,,,,,,,7.51,0,0.05,3,0.05,,WG12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,0,0.0,2,0.08,,WG12,,,,,,,,,,,,,,,3.3600001,0,0.01,2,0.05,,WG12,4.94,0,0.03,3,0.06,,WG12,4.9500003,0,0.03,3,0.13,,WG12,4.14,0,0.08,2,0.26,,WG12,,,,,,,5.64,0,0.04,3,0.07,,WG12,,,,,,,,,,,,,,,7.51,0,0.01,2,0.1,384,WG12,7.52,0,0.06,2,0.09,39,WG12,,,,,,,,,,,,,,6.16,0,0.0,2,0.11,,WG12,,,,,,,,,,,,,,,,,,,,," ",,,,,,,2.08,0,0.09,2,0.08,,WG12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",2.3300002,0,0.06,2,0.11,,WG12,1.47,0,0.0,1,,,WG12,,,,,,,,,,,,,," ",,,,,,,,,,,,,," ",,,,,,,,,,,,,,,,,,,,G0V,,,135.0,0,9.2,WG12,129.07101,2,4.6502547,,,,,0.085,0.0,819516.94,37866.395,,,0.005,0.0,71680.52,4401.9746,,,,,,,,,," ",,," ",,,10105-11-04-01-A|10105-11-09-00-A|10105-12-09-00-A|10302-11-02-01-A|10302-12-02-01-A|10303-13-19-01-A|10308-13-17-00-A|10399-11-05-00-B|10399-13-15-00-A|10399-13-18-00-A|10399-13-20-00-A|10399-13-21-00-A|12005-11-02-01-A|12005-12-02-01-A|12099-11-05-00-B|12138-11-02-01-A|12138-12-02-01-A|12140-11-02-01-A|12140-12-02-01-A|14121-11-13-01-A|14240-11-13-01-A|14906-11-13-01-A|14907-11-13-01-A|16140-11-02-01-A|16240-12-02-01-A|16258-11-02-01-A|16258-12-02-01-A|18108-11-13-01-A
03394117+2317271,Pleiades,Pels17_Benchmarks_BordeauxLib4,uhl_03394117+2317271_580.0.fits|uhu_03394117+2317271_580.0.fits,AR_CL,U580,U580,U580:U580:U580,WG12,WG11:WG12:WG13,WG11:WG12:WG13,-999.9,-999.9,5115.9004,6118.0,0.0,1,130.0,1,,4.05,0.0,1,0.18,1,,0,-0.02,0.0,1,0.12,1,,1.2543981,0.1,1,,,,,,,,,,,,,5.5401,0.56568545,Arcetri|U580M,-0.04,uhl_03394117+2317271_580.0.fits|uhu_03394117+2317271_580.0.fits,,,0,,,,,,,,,,,,,3.101317,0,0.1296319,2,0.1296319,1,WG12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.62,,0.2,2,,112,WG11,7.62,,0.17,2,,9,WG11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,,,,1.82,0,0.0,1,0.14,,WG12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",2.2900002,0,0.0,1,0.02,,WG12,,,,,,,,,,,,,,,,,,,,," ",,,,,,,,,,,,,," ",,,,,,,,,,,,,,,,,,,,F9IV-V,,,121.2,3,0.1,WG11,117.6,1,5.0911665,,,,,,,,,,,,,,,,,,,,,,,," ",,," ",,,10105-11-04-01-A|10105-11-09-00-A|10105-12-09-00-A|10152-12-11-02-A|10302-11-02-01-A|10302-11-11-01-A|10302-11-13-01-A|10302-12-02-01-A|10302-12-11-01-A|10303-12-01-01-A|10303-13-19-01-A|10308-11-08-01-A|10308-13-17-00-A|10315-15-00-01-A|10391-15-00-03-A|10399-11-05-00-B|10399-13-15-00-A|10399-13-18-00-A|10399-13-20-00-A|10399-13-21-00-A|12005-11-02-01-A|12005-12-02-01-A|12008-11-02-01-A|12008-12-02-01-A|12099-11-05-00-B|12138-11-02-01-A|12138-12-02-01-A|12140-11-02-01-A|12140-12-02-01-A|14103-11-13-01-A|14111-11-13-01-A|14112-11-13-01-A|14113-11-13-01-A|14114-11-13-01-A|14120-11-13-01-A|14121-11-13-01-A|14122-11-13-01-A|14123-11-13-01-A|14214-11-13-01-A|14220-11-13-01-A|14221-11-13-01-A|14222-11-13-01-A|14906-11-13-01-A|14907-11-13-01-A|16140-11-02-01-A|16240-11-02-01-A|16240-12-02-01-A|16258-11-02-01-A|16258-12-02-01-A|16260-11-02-01-A|16260-12-02-01-A|17106-11-02-01-A|17106-12-02-01-A|18108-11-13-01-A
03400308+2744258,Pleiades,Pels25_Benchmarks_BordeauxLib4,uhl_03400308+2744258_580.0.fits|uhu_03400308+2744258_580.0.fits,AR_CL,U580,U580,U580:U580:U580,WG12,WG11:WG12:WG13,WG11:WG12:WG13,-999.9,-999.9,3710.7136,6328.0,0.0,1,188.0,1,,3.95,0.0,1,0.16,1,,0,-0.22,0.0,1,0.14,1,,1.3571371,0.1,1,,,,,,,,,,,,,11.1402,0.4,Arcetri|U580U,-0.08,uhu_03400308+2744258_580.0.fits,,,0,,,,,,,,,,,,,2.7556186,0,0.40852696,1,0.40852696,1,WG12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,,,,1.56,0,0.0,1,0.27,,WG12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",2.13,0,0.0,1,0.05,,WG12,,,,,,,,,,,,,,,,,,,,," ",,,,,,,,,,,,,," ",,,,,,,,,,,,,,,,,,,,F6IV,,,52.1,0,17.4,WG12,55.9,1,17.4,,,,,,,,,,,,,,,,,,,,,,,," ",,," ",20020-11-03-00-A|20020-12-01-00-A,,10105-11-04-01-A|10105-11-09-00-A|10105-12-09-00-A|10151-11-02-00-A|10151-12-02-00-A|10302-11-08-01-A|10302-11-11-01-A|10302-11-13-01-A|10302-12-11-01-A|10303-13-19-01-A|10308-13-17-00-A|10315-15-00-01-A|10391-15-00-03-A|10399-11-05-00-B|10399-13-15-00-A|10399-13-18-00-A|10399-13-20-00-A|10399-13-21-00-A|10500-11-03-00-A|11020-12-01-00-A|12005-11-02-01-A|12005-12-02-01-A|12099-11-05-00-B|12138-11-02-01-A|12138-12-02-01-A|12140-11-02-01-A|12140-12-02-01-A|14103-11-13-01-A|14111-11-13-01-A|14113-11-13-01-A|14114-11-13-01-A|14120-11-13-01-A|14121-11-13-01-A|14123-11-13-01-A|14124-11-13-01-A|14125-11-13-01-A|14214-11-13-01-A|14220-11-13-01-A|14221-11-13-01-A|14906-11-13-01-A|14907-11-13-01-A|16130-11-02-01-A|16130-12-02-01-A|16140-11-02-01-A|16240-11-02-01-A|16240-12-02-01-A|16258-11-02-01-A|16258-12-02-01-A|18108-11-13-01-A
