,0
C1,299
C2,0
C3,0
N2,0
N3,0
O1,115
O2,0
NE1,0
NE2,0
NA1,382
MG1,380
MG2,0
AL1,353
AL2,10
AL3,0
SI1,390
SI2,296
SI3,0
SI4,0
S1,198
S2,0
S3,0
CA1,378
CA2,241
SC1,264
SC2,396
TI1,382
TI2,382
V1,375
V2,0
CR1,384
CR2,356
MN1,319
FE1,391
FE2,385
FE3,0
CO1,376
NI1,395
CU1,311
ZN1,309
SR1,0
Y1,0
Y2,388
ZR1,97
ZR2,129
NB1,0
MO1,36
RU1,0
BA2,364
LA2,183
CE2,69
PR2,0
ND2,311
SM2,0
EU2,121
GD2,0
DY2,0
