Zini;logAge;logTe;logg
0.0152;7;3.3976;4.003
0.0152;7;3.4044;4.013
0.0152;7;3.4045;4.013
0.0152;7;3.4178;4.029
0.0152;7;3.4246;4.035
0.0152;7;3.4276;4.039
0.0152;7;3.4296;4.042
0.0152;7;3.4308;4.042
0.0152;7;3.4396;4.052
0.0152;7;3.4456;4.059
0.0152;7;3.4515;4.065
0.0152;7;3.4558;4.071
0.0152;7;3.4621;4.078
0.0152;7;3.4685;4.085
0.0152;7;3.4743;4.093
0.0152;7;3.4823;4.102
0.0152;7;3.4834;4.104
0.0152;7;3.4876;4.11
0.0152;7;3.4955;4.121
0.0152;7;3.4968;4.124
0.0152;7;3.5055;4.136
0.0152;7;3.5084;4.141
0.0152;7;3.5152;4.151
0.0152;7;3.5193;4.159
0.0152;7;3.5243;4.167
0.0152;7;3.5274;4.174
0.0152;7;3.5324;4.182
0.0152;7;3.533;4.183
0.0152;7;3.5349;4.187
0.0152;7;3.5403;4.196
0.0152;7;3.5418;4.198
0.0152;7;3.547;4.207
0.0152;7;3.5517;4.215
0.0152;7;3.5563;4.221
0.0152;7;3.5627;4.229
0.0152;7;3.6178;4.32
0.0152;7;3.6205;4.322
0.0152;7;3.6236;4.321
0.0152;7;3.6278;4.323
0.0152;7;3.6303;4.321
0.0152;7;3.6373;4.318
0.0152;7;3.6381;4.318
0.0152;7;3.6432;4.317
0.0152;7;3.6463;4.315
0.0152;7;3.654;4.312
0.0152;7;3.6551;4.312
0.0152;7;3.6646;4.309
0.0152;7;3.6681;4.308
0.0152;7;3.6758;4.301
0.0152;7;3.676;4.301
0.0152;7;3.6876;4.293
0.0152;7;3.7;4.28
0.0152;7;3.7043;4.275
0.0152;7;3.7128;4.264
0.0152;7;3.7202;4.251
0.0152;7;3.7262;4.24
0.0152;7;3.7347;4.22
0.0152;7;3.7402;4.206
0.0152;7;3.7479;4.182
0.0152;7;3.755;4.157
0.0152;7;3.7587;4.143
0.0152;7;3.7665;4.11
0.0152;7;3.7712;4.089
0.0152;7;3.7729;4.082
0.0152;7;3.78;4.053
0.0152;7;3.7873;4.025
0.0152;7;3.7895;4.018
0.0152;7;3.7951;4.001
0.0152;7;3.8043;3.98
0.0152;7;3.8117;3.97
0.0152;7;3.8128;3.969
0.0152;7;3.8228;3.967
0.0152;7;3.8331;3.977
0.0152;7;3.844;3.996
0.0152;7;3.8507;4.012
0.0152;7;3.8543;4.021
0.0152;7;3.8628;4.056
0.0152;7;3.872;4.113
0.0152;7;3.8723;4.116
0.0152;7;3.8733;4.124
0.0152;7;3.8741;4.156
0.0152;7;3.8732;4.18
0.0152;7;3.8718;4.199
0.0152;7;3.8715;4.205
0.0152;7;3.871;4.216
0.0152;7;3.8729;4.223
0.0152;7;3.8772;4.222
0.0152;7;3.8846;4.221
0.0152;7;3.896;4.223
0.0152;7;3.8984;4.224
0.0152;7;3.9169;4.238
0.0152;7;3.9237;4.245
0.0152;7;3.9365;4.26
0.0152;7;3.9521;4.286
0.0152;7;3.9636;4.315
0.0152;7;3.9677;4.327
0.0152;7;3.9758;4.345
0.0152;7;3.9774;4.347
0.0152;7;3.9839;4.359
0.0152;7;3.9888;4.361
0.0152;7;3.9917;4.361
0.0152;7;3.9996;4.362
0.0152;7;4.0073;4.363
0.0152;7;4.0147;4.363
0.0152;7;4.0218;4.363
0.0152;7;4.0353;4.364
0.0152;7;4.0601;4.363
0.0152;7;4.0766;4.36
0.0152;7;4.0822;4.359
0.0152;7;4.1024;4.354
0.0152;7;4.1031;4.354
0.0152;7;4.1209;4.349
0.0152;7;4.1378;4.343
0.0152;7;4.1533;4.336
0.0152;7;4.1649;4.331
0.0152;7;4.1681;4.33
0.0152;7;4.1817;4.324
0.0152;7;4.1946;4.317
0.0152;7;4.2066;4.31
0.0152;7;4.2179;4.303
0.0152;7;4.2289;4.297
0.0152;7;4.2388;4.289
0.0152;7;4.24;4.288
0.0152;7;4.2485;4.282
0.0152;7;4.2579;4.275
0.0152;7;4.2668;4.268
0.0152;7;4.2752;4.261
0.0152;7;4.2834;4.254
0.0152;7;4.2913;4.248
0.0152;7;4.2987;4.241
0.0152;7;4.3197;4.22
0.0152;7;4.3255;4.213
0.0152;7;4.3449;4.191
0.0152;7;4.3498;4.184
0.0152;7;4.3527;4.18
0.0152;7;4.3691;4.155
0.0152;7;4.3749;4.145
0.0152;7;4.3779;4.14
0.0152;7;4.3898;4.116
0.0152;7;4.3959;4.102
0.0152;7;4.3986;4.095
0.0152;7;4.4075;4.072
0.0152;7;4.4131;4.054
0.0152;7;4.4174;4.038
0.0152;7;4.4225;4.015
0.0152;7;4.4263;3.996
0.0152;7;4.4274;3.99
0.0152;7;4.4311;3.966
0.0152;7;4.4343;3.941
0.0152;7;4.4372;3.905
0.0152;7;4.4389;3.866
0.0152;7;4.4392;3.845
0.0152;7;4.4392;3.845
0.0152;7;4.4393;3.803
0.0152;7;4.4373;3.749
0.0152;7;4.4335;3.688
0.0152;7;4.4279;3.625
0.0152;7;4.4258;3.604
0.0152;7;4.4248;3.595
0.0152;7;4.4171;3.532
0.0152;7;4.408;3.464
0.0152;7;4.3976;3.394
0.0152;7;4.3899;3.345
0.0152;7;4.3813;3.292
0.0152;7;4.3725;3.232
0.0152;7;4.379;3.225
0.0152;7;4.3876;3.251
0.0152;7;4.3886;3.254
0.0152;7;4.3904;3.26
0.0152;7;4.4009;3.291
0.0152;7;4.412;3.32
0.0152;7;4.419;3.337
0.0152;7;4.4195;3.339
0.0152;7;4.4125;3.323
0.0152;7;4.4023;3.285
0.0152;7;4.3908;3.239
0.0152;7;4.3791;3.191
0.0152;7;4.3682;3.146
0.0152;7;4.3562;3.097
0.0152;7;4.3432;3.043
0.0152;7;4.3321;2.997
0.0152;7;4.3202;2.948
0.0152;7;4.3075;2.896
0.0152;7;4.2974;2.855
0.0152;7;4.2868;2.812
0.0152;7;4.2757;2.767
0.0152;7;4.264;2.72
0.0152;7;4.2517;2.671
0.0152;7;4.2387;2.619
0.0152;7;4.225;2.565
0.0152;7;4.2154;2.527
0.0152;7;4.2052;2.487
0.0152;7;4.1947;2.445
0.0152;7;4.1835;2.402
0.0152;7;4.1717;2.355
0.0152;7;4.1588;2.305
0.0152;7;4.145;2.251
0.0152;7;4.1295;2.191
0.0152;7;4.1121;2.124
0.0152;7;4.1024;2.087
0.0152;7;4.0916;2.045
0.0152;7;4.0796;1.999
0.0152;7;4.0654;1.945
0.0152;7;4.0484;1.879
0.0152;7;4.028;1.801
0.0152;7;4.0031;1.705
0.0152;7;3.9723;1.587
0.0152;7;3.9343;1.44
0.0152;7;3.8873;1.259
0.0152;7;3.8354;1.061
0.0152;7;3.8103;0.968
0.0152;7;3.7964;0.917
0.0152;7;3.7794;0.856
0.0152;7;3.7598;0.786
0.0152;7;3.7374;0.706
0.0152;7;3.713;0.623
0.0152;7;3.6882;0.545
0.0152;7;3.6632;0.474
0.0152;7;3.6397;0.405
0.0152;7;3.6082;0.333
0.0152;7;3.5994;0.294
0.0152;7;3.5896;0.231
0.0152;7;3.581;0.137
0.0152;7;3.5756;0.08
0.0152;7;3.5672;-0.007
0.0152;7;3.5563;-0.149
0.0152;7;3.5612;-0.093
0.0152;7;3.567;-0.032
0.0152;7;3.5747;0.009
0.0152;7;3.5822;-0.012
