CNAME,GES_FLD,WG,RA,DEC,SNR,TEFF,E_TEFF,LOGG,E_LOGG,FEH,XI,MH,ALPHA_FE,VRAD,E_VRAD,VSINI,E_VSINI,TEFF_PHOT,E_TEFF_PHOT,TEFF_IRFM,E_TEFF_IRFM,FBOL_IRFM,HE1,LI1,C1,C2,C3,N2,N3,O1,O2,NE1,NE2,NA1,MG1,MG2,AL1,AL2,AL3,SI1,SI2,SI3,SI4,S1,S2,S3,CA1,CA2,SC1,SC2,TI1,TI2,V1,V2,CR1,CR2,MN1,FE1,FE2,FE3,CO1,NI1,CU1,ZN1,SR1,Y1,Y2,ZR1,ZR2,NB1,MO1,RU1,BA2,LA2,CE2,PR2,ND2,SM2,EU2,GD2,DY2,SPT
10472547-6331564,IC2602,WG11:WG12:WG13,161.85612499999732,-63.53233333333226,152.18916000000004,5048.0,14.0,3.6522431000000006,0.05159079,0.109910555,0.96,,,24.359652,0.36453098,3.797917,3.871317,,,,,,,1.2871795,8.31,,,,,8.842,,,,6.37,7.75,,6.5499997,,,7.65,7.46,,,,,,6.56,6.36,3.19,3.64,5.1,5.1,4.31,,5.7,5.81,5.57,7.59,7.59,,5.12,6.42,4.3,4.604,,,2.22,2.71,2.66,,2.2,,2.14,2.34,1.8000001,,1.64,,0.43,,,K0V
10445962-6502191,IC2602,WG11:WG12:WG13,161.2484166666639,-65.03863888888777,147.59079,5797.0,0.0,4.39,0.0,0.06,1.0854539,,,25.35065,4.2426405,,,,,,,,,3.479001,,,,,,,,,,,,,6.62,,,7.21,7.95,,,,,,6.351,,,3.5,5.24,5.01,4.3469996,,6.47,7.395,,7.76,8.06,,5.63,6.33,,4.3640003,,,2.39,,,,,,,,2.96,,,,,,,G2V
17475820+0559576,IC4665,WG11:WG12,266.9924999999955,5.999333333333231,96.96813,5925.0,39.0,3.8921206,0.052300356,0.037845045,1.24,,,-20.875748,0.36515382,4.5575,3.876026,,,,,,,2.7062757,8.09,,,,,,,,,6.21,7.59,,6.3399997,,,7.53,7.37,,,7.28,,,6.51,6.18,3.244,3.47,4.88,4.9500003,4.13,,5.68,5.54,5.41,7.51,7.45,,4.94,6.26,4.24,4.6340002999999985,,,2.05,,,,,,2.19,1.35,,,1.55,,0.27,,,G0.5IV
17460709+0555486,IC4665,WG11:WG10:WG12,266.5295416666621,5.930166666666566,172.77791000000005,6069.0,38.0,4.371008,0.021363683,0.09559351,1.64,,,-16.850498,0.36592942,9.386,6.221236,,,,,,,3.5578332,8.17,,,,,,,,,6.22,7.56,,6.44,,,7.43,7.57,,,7.23,,,6.64,6.36,3.444,3.4,5.02,4.98,4.16,,5.7,5.61,5.47,7.57,7.58,,4.84,6.22,4.13,4.6140003,,,2.24,,,,,,2.3600001,1.35,,,1.68,,,,,G0V
17444099+0541558,IC4665,WG11:WG12,266.1707916666621,5.698833333333237,121.56495,7053.0,0.0,4.12,0.0,-0.12,,,,-16.82515,4.2426405,,,,,,,,,2.8458385,,,,,,,,,,6.27,7.2,,,,,7.89,,,,,,,6.271,,,3.31,5.49,5.0,4.697,,,6.0449996,,7.72,7.55,,,6.65,,4.8640003,,,3.01,,3.13,,,,,,,,,,,,,A7III
17455598+0602542,IC4665,WG11:WG10:WG12,266.48324999999556,6.048388888888786,113.704994,5632.0,129.0,4.3284736,0.07736865400000001,0.025308577,1.98,,,-14.68985,0.40378067,21.836048,5.982235,,,,,,,3.4659314,8.22,,,,,,,,,6.25,7.23,,6.45,,,7.42,7.59,,,7.18,,,6.52,,3.524,3.21,4.98,4.62,4.06,,5.66,5.645,5.41,7.45,7.44,,4.75,6.04,3.99,4.534,,,2.14,3.05,,,,,2.0900002,,,,1.51,,,,,G2V
17463149+0605280,IC4665,WG11:WG10:WG12,266.6312083333288,6.091111111111008,163.87718,6044.0,0.0,4.2,0.0,0.02,1.2037385,,,-14.575,3.0315802000000005,,,,,,,,,3.3236485,8.26,,,,,,,,,6.08,7.44,,6.55,,,7.44,7.35,,,7.34,,,6.331,6.3,4.394,2.92,4.96,4.71,4.257,,5.69,5.665,5.23,7.69,7.56,,4.96,6.1,4.18,4.284,,,2.47,,,,,,2.154,,,,1.62,,,,,F8V
17473252+0552316,IC4665,WG11:WG12,266.88549999999543,5.875444444444344,143.54121,6177.0,12.0,4.220554,0.035949897,0.120518014,1.3,,,-14.22015,0.36498833,5.162000000000001,4.7049417,,,,,,,2.0006,8.28,,,,,,,,,6.2799997,7.62,,6.43,,,7.56,7.61,,,7.2,,,6.59,6.35,3.574,3.51,5.0,5.04,4.2999997,,5.7,5.6,5.52,7.58,7.57,,5.09,6.37,4.26,4.744,,,2.13,,,,,,2.19,1.34,,,1.65,,0.41,,,F8V
17443565+0557208,IC4665,WG11:WG12,266.14854166666214,5.955777777777678,92.725815,6114.0,35.0,3.8146799,0.04407272,-0.31051737,1.51,,,-14.141601,0.3655965,5.412000000000001,4.7738037,,,,,,,2.6721458,7.91,,,,,,,,,5.91,7.29,,5.95,,,7.13,7.3,,,,,,6.27,5.99,,3.0400002,4.68,4.57,3.937,,5.27,5.33,5.04,7.16,7.14,,4.82,5.9,3.9,4.244,,,1.66,,,,,,1.87,0.8,,,1.37,,,,,F8V
17462473+0517214,IC4665,WG11:WG12,266.6030416666622,5.289277777777689,96.7237,5960.0,0.0,4.37,0.0,0.0,1.1447155,,,-13.693999,0.7002609000000001,33.303709999999995,8.155625,,,,,,,3.148488,8.29,,,,,,,,,6.37,7.76,,6.53,,,7.56,7.9,,,7.42,,,6.541,,,3.2,5.17,5.16,4.277,,5.76,5.9449997,5.4,7.65,7.6,,4.9,6.21,,4.8039999999999985,,,2.37,3.65,,,,,2.474,,,,1.86,,1.16,,,G0V
