,0
C1,361
C2,0
C3,0
N2,0
N3,0
O1,289
O2,0
NE1,0
NE2,0
NA1,434
MG1,442
MG2,0
AL1,426
AL2,13
AL3,0
SI1,384
SI2,344
SI3,0
SI4,0
S1,43
S2,0
S3,0
CA1,436
CA2,161
SC1,435
SC2,445
TI1,436
TI2,384
V1,432
V2,0
CR1,435
CR2,432
MN1,373
FE1,435
FE2,435
FE3,0
CO1,432
NI1,437
CU1,378
ZN1,374
SR1,0
Y1,0
Y2,433
ZR1,407
ZR2,366
NB1,0
MO1,129
RU1,0
BA2,379
LA2,417
CE2,414
PR2,0
ND2,381
SM2,0
EU2,410
GD2,0
DY2,0
